rva	name	conf	size	n_callers	n_orphan_sites	best_caller	all_callers	orphan_sites	verdict
0x0045dfc0	FUN_0045dfc0	C2	46	1	0	0x00466b50(C2)	00466b50:C2	-	GATE_PASS
0x0041c090	FUN_0041c090	C2	46	1	0	0x0040fc00(C2)	0040fc00:C2	-	GATE_PASS
0x00430b30	FUN_00430b30	C2	46	2	0	0x00448220(C2)	00448220:C2;00434720:C2	-	GATE_PASS
0x00482900	FUN_00482900	C2	48	3	0	0x004113b0(C2)	004113b0:C2;00411d90:C2;00482930:C2	-	GATE_PASS
0x004b5190	FUN_004b5190	C2	49	13	7	0x0041ad60(C3)	00419090:C2;0041ad60:C3;0041b690:C2;0041c320:C3;0041cd20:C3;004b51d0:C2;00407800:C2;00420420:C2;0041fe10:C2;00421a90:C2;00426460:C2;00456760:C2;004548e0:C2	004554a0;0045553b;00458449;0045a70c	GATE_PASS
0x005571e0	FontSys_InitFontPool	C2	49	1	0	0x00552b60(C2)	00552b60:C2	-	GATE_PASS
0x0041b4d0	FUN_0041b4d0	C2	50	1	0	0x004111c0(C2)	004111c0:C2	-	GATE_PASS
0x0041f1e0	FUN_0041f1e0	C2	51	4	0	0x00412f30(C2)	00412f30:C2;00420e00:C2;00485c20:C2;00451ad0:C2	-	GATE_PASS
0x00556ce0	FontSys_ShutdownBuffers	C2	54	1	0	0x00552b90(C2)	00552b90:C2	-	GATE_PASS
0x00494a80	sub_00494a80	C2	55	1	0	0x00495350(C2)	00495350:C2	-	GATE_PASS
0x00485420	FUN_00485420	C2	59	1	0	0x004694e0(C2)	004694e0:C2	-	GATE_PASS
0x0041d830	FUN_0041d830	C2	59	1	0	0x0040fc00(C2)	0040fc00:C2	-	GATE_PASS
0x00413f50	FUN_00413f50	C2	64	1	0	0x0040bde0(C2)	0040bde0:C2	-	GATE_PASS
0x00411530	Replay::GetTimeAtIdx	C2	65	2	0	0x004115c0(C3)	004115c0:C3;00411580:C3	-	GATE_PASS
0x00556e40	FUN_00556e40	C2	67	1	0	0x00427620(C2)	00427620:C2	-	GATE_PASS
0x00418de0	FUN_00418de0	C2	73	3	0	0x00418e30(C2)	00418e30:C2;00419760:C2;00419a00:C2	-	GATE_PASS
0x00556d20	FontSys_InitBuffers	C2	73	1	0	0x00552b60(C2)	00552b60:C2	-	GATE_PASS
0x0055c4f0	PhysicsBodySetFriction	C2	76	9	0	0x004218d0(C2)	004218d0:C2;0047fad0:C2;0047f840:C2;0047f940:C2;0047fc40:C2;0047fe00:C2;0047ff70:C2;0055c4f0:C2;0047d3c0:C2	-	GATE_PASS
0x00411350	Replay::TimeFormat	C2	87	4	0	0x00411600(C3)	00411d90:C2;00411530:C2;00429310:C2;00411600:C3	-	GATE_PASS
0x004391b0	FUN_004391b0	C2	88	1	0	0x00439210(C4)	00439210:C4	-	GATE_PASS
0x004a2b60	FUN_004a2b60	C2	88	34	0	0x004625b0(C3)	00401630:C2;00401000:C2;004625b0:C3;004627f0:C2;00402b70:C2;00497190:C2;00498860:C2;00498a00:C2;00428a30:C2;00428bf0:C2;00407800:C2;004095a0:C2;00423480:C3;00425c00:C2;00462950:C2;0042f400:C2;004b7f70:C2;0042c3c0:C2;00448220:C2;004368e0:C2;00434720:C2;0042d290:C3;0058d810:C1;0058ed00:C1;00589fa0:C1;004b7e30:C2;004bb130:C2;004bca50:C2;004bcaf0:C2;004ba9e0:C2;004c0610:C2;00496490:C2;00405780:C2;00497b60:C2	-	GATE_PASS
0x00422470	FUN_00422470	C2	94	1	0	0x0041f770(C2)	0041f770:C2	-	GATE_PASS
0x00426b40	FUN_00426b40	C2	94	1	0	0x0040cfd0(C2)	0040cfd0:C2	-	GATE_PASS
