t,fires,px,py,pz,dx,dy,dz,elev,azim,zoom,pairA,pairB,track_type,overhead,mode,ticks,dtb,jit,reset,c0x,c0y,c0z,c0vx,c0vy,c0vz,c0vgate,c0act,c0alive,c0dead,c0deadt,c0prog,c0pct,c1x,c1y,c1z,c1vx,c1vy,c1vz,c1vgate,c1act,c1alive,c1dead,c1deadt,c1prog,c1pct,c2x,c2y,c2z,c2vx,c2vy,c2vz,c2vgate,c2act,c2alive,c2dead,c2deadt,c2prog,c2pct,c3x,c3y,c3z,c3vx,c3vy,c3vz,c3vgate,c3act,c3alive,c3dead,c3deadt,c3prog,c3pct
1787775078309,181,0.2953926920890808,3.5444133281707764,5.237710952758789,-0.40801048278808594,-3.058393955230713,-6.6363701820373535,24.702880859375,183.51817321777344,2.7495455741882324,0,3,30,0,0,1534190593,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078326,182,0.2969836890697479,3.544369697570801,5.237817287445068,-0.4096919298171997,-3.058350086212158,-6.6366119384765625,24.69873046875,183.53250122070312,2.7495455741882324,0,3,30,0,0,1534240627,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078343,183,0.29879531264305115,3.544312000274658,5.237943172454834,-0.4116063714027405,-3.0582923889160156,-6.636892318725586,24.698333740234375,183.548828125,2.7495455741882324,0,3,30,0,0,1534290684,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078360,184,0.30076032876968384,3.5442402362823486,5.23808479309082,-0.413682758808136,-3.058220863342285,-6.637202262878418,24.69781494140625,183.56651306152344,2.7495455741882324,0,3,30,0,0,1534341659,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078376,185,0.3028295040130615,3.5441548824310303,5.2382402420043945,-0.41586893796920776,-3.058135509490967,-6.63753604888916,24.693359375,183.5851287841797,2.7495455741882324,0,3,30,0,0,1534390615,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078393,186,0.30496370792388916,3.5440561771392822,5.238408088684082,-0.4181235134601593,-3.0580368041992188,-6.637888431549072,24.69268798828125,183.6043243408203,2.7495455741882324,0,3,30,0,0,1534441013,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078410,187,0.30623260140419006,3.543992757797241,5.238509654998779,-0.4194638431072235,-3.0579733848571777,-6.6381001472473145,24.69219970703125,183.61573791503906,2.7495455741882324,0,3,30,0,0,1534490747,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078427,188,0.30779358744621277,3.5439069271087646,5.238640785217285,-0.4211125671863556,-3.057887554168701,-6.638367176055908,24.687774658203125,183.6297607421875,2.7495455741882324,0,3,30,0,0,1534542084,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078443,189,0.3095690608024597,3.5438005924224854,5.238798141479492,-0.422987699508667,-3.057781219482422,-6.6386799812316895,24.68701171875,183.6457061767578,2.7495455741882324,0,3,30,0,0,1534590982,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
1787775078460,190,0.3114936947822571,3.5436761379241943,5.23897647857666,-0.4250202775001526,-3.057656764984131,-6.6390275955200195,24.686126708984375,183.66299438476562,2.7495455741882324,0,3,30,0,0,1534641135,0.01666666567325592,0,0,0.50093674659729,0.43447935581207275,-1.9989449977874756,0,0,0,0,0,1,0,0,29.999977111816406,99.99992370605469,-1.101217269897461,0.4687626361846924,-0.9019389748573303,0,0,0,0,0,1,0,0,29.72770118713379,99.09233093261719,1.1367228031158447,0.5032764673233032,0.20244953036308289,0,0,0,0,0,1,0,0,29.454856872558594,98.18285369873047,-0.465431272983551,0.5375596284866333,1.2994550466537476,0,0,0,0,0,1,0,0,29.182798385620117,97.27599334716797
