rva	name	subsystem	size	n_callees	callees_c3	best_caller
0040d040	Course::ValidateCarsFinished	util	201	4	0041efc0,0041f320,0042f6a0,00431d70	0040d270
005a8890	FUN_005a8890	audio	207	2	005aad40,005b0c70	00462dd0
00403c60	FUN_00403c60	hud	207	1	00427ad0	00404320
005554d0	FUN_005554d0	hud	219	1	005c4d30	00427680
00407be0	FUN_00407be0	gameplay	225	1	00426090	00407e20
004298e0	TimeDisplay::InitForLap	hud	226	2	00411580,00430b00	0040e560
005b6820	FUN_005b6820	audio	230	1	005b6a40	005b66c0
004c5cb0	FUN_004c5cb0	render	231	2	004d7ff0,004d8480	0040bbb0
004273e0	FUN_004273e0	frontend	237	2	0042b8b0,0042b8c0	0042c090
005ac650	FUN_005ac650	audio	240	1	005adf30	005acda0
005ad320	FUN_005ad320	audio	251	1	005adf30	005a9de0
0041c410	FUN_0041c410	render	260	1	0040b420	0041cc50
