rva	name	subsystem	arg_type	note	callees
00552840	FontCtx_SetRotation	hud	unknown	re/analysis/hud_promote_c2_b/0x00552840.md	004c4d20
005540d0	FontCanvas_Init	hud	unknown	re/analysis/font_sys_promote_ae3/0x005540d0.md	004cc820,00553f40,00623e8c,00623e90,007d3ff8,007dc77c
00495080	FUN_00495080	frontend	unknown	re/analysis/game_mode_cont2/0x00495080.md	00494fd0,005cc32c
00494f30	FUN_00494f30	frontend	unknown	re/analysis/game_mode_cont2/0x00494f30.md	00493fc0,00771a18,00771a50,00771a54
00431f30	FUN_00431f30	frontend	unknown	re/analysis/options_menu/0x00431f30.md	0042f0c0,0042fb70,0042fe90,00430120,00430b90,00431240,004314b0,00431710,00431d90,004335f0,00434720,00439210,0043a610,0043aa30,0043af10,0043bf30,0067e7a8,0067e7b0,0067e7b8,0067e7c8,0067e7d0,0067e7d8,0067e7e0,0067e7e8,0067e7f0,0067e7f8,0067e800,0067e808,0067e810,0067e818,0067e820,0067e828,0067e830,0067e838
00401ee0	FUN_00401ee0	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/00401ee0.md	00401570,00401da0,00401ee3,00401ee8,00401ef1,004e6680,00636ac0
00401da0	FUN_00401da0	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/00401da0.md	00401db4,00401e22,00401e2e,00401e3e,00401e4e,00401e5a,00401e66,00426cf0,00467210,004c1480,004c4d20,004c5010,004c51a0,005cc320,005cc340,00636ac0,00636ac4
004189f0	thunk_FUN_00419760	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/004189f0.md	004189f4,00418a30,00418de0,00419760,005f3298,0063bf30,0063c018,0063c028,0063c04c,0063c06c,007f1a14,007f1a1c
0042e8b0	FUN_0042e8b0	frontend	unknown	re/analysis/frontend_c1_to_c2_s6/FUN_0042e8b0.md	
00430670	FUN_00430670	frontend	unknown	re/analysis/hud_frontend_d5/0x00430670.md	00413f90,0043067f,004306a9,004306b5,004306d3,005f2b10,0067e9fc,0067ea94,0067ea98,0067f17c,007f1a1c
004a2b60	FUN_004a2b60	frontend	unknown	re/analysis/promote_c1_high_ab3/0x004a2b60.md	004a2b6f,004a2b73,004a2b97,004a4ea8,004a504f
00423b00	FUN_00423b00	frontend	unknown	re/analysis/frontend_gate_unblock_u/0x00423b00.md	
005571e0	FontSys_InitFontPool	hud	unknown	re/analysis/font_pools_frontend_ae6/0x005571e0.md	004cc820,005571c0,005571eb,005571ff,00557210,00623f68,00623f6c,007dc81c
00557250	FontSys_InitDataPools	hud	unknown	re/analysis/font_pools_frontend_ae6/0x00557250.md	004cc820,00552b60,005571e0,00557220,00557257,0055727e,005572a2,00623f70,00623f74,00623f78,00623f7c,007dc840,007dc864
00556d20	FontSys_InitBuffers	hud	unknown	re/analysis/font_atlas_promote_ae5/0x00556d20.md	004cc820,00556ce0,00556d2d,00556d4a,00556d67,00623f60,00623f64,007d3ff8,007dc7e8
00552b90	FontSys_Shutdown	hud	unknown	re/analysis/font_sys_promote_ae3/0x00552b90.md	004c5770,00552a60,00554050,00555280,00556ce0,005571c0,00557220,007d3ff8
005571c0	FontSys_ShutdownFontPool	hud	unknown	re/analysis/font_pools_frontend_ae6/0x005571c0.md	004cc9f0,005571c9,005571d3,005571d8,005571e0
00557220	FontSys_ShutdownDataPools	hud	unknown	re/analysis/font_pools_frontend_ae6/0x00557220.md	004cc9f0,00552b90,005571c0,00557229,00557233,0055723b,00557241,00557246,00557250
00556ce0	FontSys_ShutdownBuffers	hud	unknown	re/analysis/font_atlas_promote_ae5/0x00556ce0.md	004cc9f0,00556cf3,00556cf8,00556d00,00556d0e,00556d20,007d3ff8
00555f20	FontCtx_BuildExtTable	hud	unknown	re/analysis/font_ctx_promote_ae4/0x00555f20.md	00555f2e,00555f36,00555f70,00555f7c,00555f93,00555fb1,00555fb8,00555fc3,00555fc9,00555fcf,00555fd5,00555feb
004013f0	FUN_004013f0	hud	unknown	re/analysis/boot_hud_promote_ae1/0x004013f0.md	004011f0,00426060,004c19f0,004c1a00,004e4320,004e4350,004e6680,00636560,00636564,007d3ff8
00402f80	FUN_00402f80	hud	unknown	re/analysis/boot_hud_promote_ae1/0x00402f80.md	00636ae8,00636aec,00636af0,00636af4
00403c60	FUN_00403c60	hud	unknown	re/analysis/skeleton_prep_high_leverage/00403c60.md	00403c8c,00403c8d,00403cb7,00403cb8,00403cf6,00403cf7,00403d2c,00403d2e,00427ad0
00497b60	FUN_00497b60	frontend	unknown	re/analysis/cluster_0049_first_pass/00497b60.md	00497d31,00499720,00499740,004a2b60,00615fe8,007719e8,00773118,007e95c4,007e96c8
004224d0	FUN_004224d0	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/004224d0.md	004224e0,004224ec,004b6520,005f6154,006403e8,006412e8,006412ec,006412f0,006412f4,006412f8,006412fc,00641300,00641304,00641308,0064130c,00641310,00641314,0064131c,00641320
00424270	FUN_00424270	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00424270.md	
00425b90	FUN_00425b90	frontend	unknown	re/analysis/frontend_c1_to_c2_s3/FUN_00425b90.md	
00426b40	FUN_00426b40	frontend	unknown	re/analysis/frontend_c1_to_c2_s4/FUN_00426b40.md	
00426cb0	FUN_00426cb0	frontend	unknown	re/analysis/frontend_c1_to_c2_s4/FUN_00426cb0.md	
00426d90	FUN_00426d90	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_00426d90.md	
0042a640	FUN_0042a640	frontend	unknown	re/analysis/frontend_c1_to_c2_s6/FUN_0042a640.md	
0042bde0	FUN_0042bde0	frontend	unknown	re/analysis/frontend_c1_to_c2_s6/FUN_0042bde0.md	
0042fab0	FUN_0042fab0	frontend	unknown	re/analysis/bucket_0041dc30/0x0042fab0.md	0040bb90
00431b70	FUN_00431b70	frontend	unknown	re/analysis/bucket_0041dc30/0x00431b70.md	007f0f10
00433240	FUN_00433240	frontend	unknown	re/analysis/bucket_0041dc30/0x00433240.md	00402f80,0042d3a0,0067e844,0067e914,0067e9f8,0067ea84,0067eca4,0067ecac,0067ecb0
0043aee0	FUN_0043aee0	frontend	unknown	re/analysis/bucket_0041dc30/0x0043aee0.md	004307a0,0067ed6c,0067f17c,007f0a40
004893d0	FUN_004893d0	frontend	unknown	re/analysis/bucket_0041dc30/0x004893d0.md	
