0x004b6b00	0	1
0x00454c00	0	1
0x004d8470	1	1
0x00456ce0	0	1
0x00471430	1	1
0x0049d0a0	0	1
0x005b1160	0	1
0x004d5550	0	1
0x0045c820	0	1
0x004c40b0	0	1
0x004722e0	1	1
0x00490f50	4	1
0x00490f80	4	1
0x00409970	4	1
0x004aeda6	3	1
0x00430b30	0	1
0x00471450	3	1
0x00490fb0	6	1
0x00491030	6	1
0x004d8430	2	1
0x00454c10	6	1
0x004cd500	0	1
0x004d84e0	0	1
0x0055c4f0	0	1
0x0048d0f0	0	1
0x00471490	3	1
0x00488320	0	1
0x005aea60	8	1
0x004c35f0	0	1
0x00458bf0	3	1
0x004277a0	2	1
0x00490e70	24	1
0x004b4550	0	1
0x00475ab0	1	1
0x004c4eb0	0	1
0x004d9ba0	0	1
0x0046d880	1	1
0x004c8e50	1	1
0x00469df0	2	1
0x0049a730	1	2
0x004e4320	2	2
0x00418a70	0	2
0x004173b0	0	2
0x00417370	0	2
0x005571e0	1	2
0x004b7140	0	2
0x004d7c60	2	2
0x004215e0	1	2
0x0047f1e0	0	2
0x0047f230	0	2
0x00557250	2	2
0x005a6710	0	2
0x00411350	0	2
0x004d8fa0	2	2
0x0041dc30	0	2
0x0048bb70	7	2
0x0045c6b0	8	2
0x0041f880	0	2
0x0041c380	0	2
0x004c1680	1	2
0x00481780	0	2
0x00451ce0	0	2
0x005b3020	0	2
0x00471df0	12	2
0x005c94c0	0	2
0x00430670	1	2
0x004cf160	0	2
0x0046dc20	10	2
0x0042c7c0	0	2
0x004d9d00	0	2
0x004dabd0	0	2
0x005a9de0	0	3
0x004c1b10	1	3
0x004778e0	0	3
0x00475ef0	1	3
0x00420d00	4	3
0x004417e0	0	3
0x00411530	0	3
0x004d4250	2	3
0x00412890	6	3
0x0042c220	0	3
0x004b5260	0	3
0x004d42b0	2	3
0x0040e500	2	3
0x005af690	0	3
0x0046bf50	0	3
0x0045cbe0	8	3
0x0052d980	1	3
0x00417cf0	0	3
0x00475770	0	3
0x0040b180	20	3
0x004ceba0	0	3
0x004b53b0	0	3
0x00421690	0	4
0x0048f740	4	4
0x0045d080	8	4
0x00457650	0	4
0x0041adb0	0	4
0x004785e0	0	4
0x0045cfe0	8	4
0x00477e60	0	4
0x00414180	7	4
0x004c4530	0	4
0x00414220	1	4
0x0041bf20	4	4
0x0047ba20	0	4
0x00450300	25	4
0x0046e9e0	0	4
0x0045cc50	8	5
0x0041cb80	2	5
0x004584e0	0	5
0x0040ad90	0	5
0x004b4430	0	5
0x00477920	1	5
0x0046ef70	0	5
0x0047b230	0	6
0x0047acd0	0	6
0x0047ad00	0	6
0x0047b1b0	0	6
0x0047aad0	1	6
0x00458570	0	6
0x00414060	5	6
0x0045cb20	13	6
0x0046d570	0	6
0x0047b200	1	7
0x0047a180	1	7
0x0047a720	1	7
0x0047aa20	1	7
0x0047a790	2	7
0x0047b420	0	7
0x0047b5b0	1	7
0x0047ab30	4	7
0x0047abd0	4	7
0x00479030	0	7
0x0041b4d0	2	8
0x0045cc80	13	8
0x0045d0e0	0	8
0x00491340	0	8
0x00417750	3	9
0x004093b0	0	9
0x004783f0	0	10
0x0042c510	9	17
