address	outcome	detail
0x0045c9f4	SKIP_DEFINED_DATA	pointer
0x0045ca09	SKIP_NO_CODE	disassemble() produced no instruction
0x0045cf64	SKIP_DEFINED_DATA	pointer
0x0045cf7c	SKIP_DEFINED_DATA	pointer
0x0045cf94	SKIP_DEFINED_DATA	pointer
0x0045cfac	SKIP_DEFINED_DATA	pointer
0x0045cfc4	SKIP_DEFINED_DATA	pointer
0x0045dbcc	SKIP_DEFINED_DATA	pointer
0x00462374	SKIP_DEFINED_DATA	pointer
0x004623ac	SKIP_DEFINED_DATA	byte
0x0046257c	SKIP_DEFINED_DATA	pointer
0x00462740	SKIP_DEFINED_DATA	pointer
0x004627d4	SKIP_DEFINED_DATA	pointer
0x004627db	SKIP_NO_CODE	disassemble() produced no instruction
0x00463134	SKIP_DEFINED_DATA	pointer
0x00463c34	SKIP_DEFINED_DATA	pointer
0x00463c64	SKIP_DEFINED_DATA	pointer
0x00464a0c	SKIP_DEFINED_DATA	pointer
0x00464a30	SKIP_DEFINED_DATA	pointer
0x00465928	SKIP_DEFINED_DATA	pointer
0x00466f88	SKIP_DEFINED_DATA	pointer
0x00466fa8	SKIP_DEFINED_DATA	pointer
0x00466fe0	SKIP_DEFINED_DATA	byte
0x00468b80	CREATED	FUN_00468b80	size=509
0x0046bf2c	SKIP_DEFINED_DATA	pointer
0x0046d3a0	CREATED	FUN_0046d3a0	size=86
0x00472150	CREATED	FUN_00472150	size=95
0x004721e0	CREATED	FUN_004721e0	size=256
0x00472330	CREATED	FUN_00472330	size=40
0x00472360	CREATED	FUN_00472360	size=21
0x00474d18	SKIP_DEFINED_DATA	pointer
0x00474d30	CREATED	FUN_00474d30	size=36
0x00474f50	CREATED	FUN_00474f50	size=52
0x00474f90	CREATED	FUN_00474f90	size=32
0x0047f7d0	CREATED	FUN_0047f7d0	size=105
0x00481720	SKIP_DEFINED_DATA	pointer
0x004820d0	SKIP_DEFINED_DATA	pointer
0x004827a0	CREATED	FUN_004827a0	size=29
0x004827c0	CREATED	FUN_004827c0	size=58
0x00482800	CREATED	FUN_00482800	size=29
0x004842d0	CREATED	FUN_004842d0	size=58
0x00484360	CREATED	FUN_00484360	size=309
0x00484778	SKIP_DEFINED_DATA	pointer
0x004847a9	SKIP_NO_CODE	disassemble() produced no instruction
0x00486630	CREATED	FUN_00486630	size=500
0x00487180	CREATED	FUN_00487180	size=247
0x00488060	SKIP_DEFINED_DATA	undefined *
0x0048cf50	SKIP_DEFINED_DATA	pointer
0x0048cf5b	SKIP_NO_CODE	disassemble() produced no instruction
0x0048fe30	CREATED	FUN_0048fe30	size=61
0x0048fed0	CREATED	FUN_0048fed0	size=12
0x0048fee0	CREATED	FUN_0048fee0	size=12
0x004929b4	SKIP_DEFINED_DATA	pointer
0x00492ce8	SKIP_DEFINED_DATA	pointer
0x00492e3c	SKIP_DEFINED_DATA	pointer
0x00493368	SKIP_DEFINED_DATA	pointer
0x004936f0	CREATED	FUN_004936f0	size=12
0x00493700	CREATED	FUN_00493700	size=12
0x00493ac0	CREATED	FUN_00493ac0	size=127
0x00493b40	CREATED	FUN_00493b40	size=6
0x004951c8	SKIP_DEFINED_DATA	pointer
0x00495ee0	CREATED	FUN_00495ee0	size=249
0x00496d10	CREATED	FUN_00496d10	size=12
0x00496e00	CREATED	FUN_00496e00	size=17
0x00496e20	CREATED	FUN_00496e20	size=17
0x00497438	SKIP_DEFINED_DATA	pointer
0x004976a0	CREATED	FUN_004976a0	size=1124
0x00497fd0	CREATED	FUN_00497fd0	size=639
0x00498360	CREATED	FUN_00498360	size=406
0x004991f0	CREATED	FUN_004991f0	size=454
0x004a23d0	CREATED	FUN_004a23d0	size=9
0x004a3ce9	CREATED	FUN_004a3ce9	size=36
0x004a3fb0	CREATED	FUN_004a3fb0	size=34
0x004a57c4	SKIP_DEFINED_DATA	pointer
0x004a5a0c	CREATED	FUN_004a5a0c	size=75
0x004a5a57	CREATED	FUN_004a5a57	size=26
0x004a78f4	CREATED	FUN_004a78f4	size=61
0x004ab054	SKIP_DEFINED_DATA	pointer
0x004ab0d0	SKIP_DEFINED_DATA	pointer
0x004ab13c	SKIP_DEFINED_DATA	pointer
0x004ab1e0	SKIP_DEFINED_DATA	pointer
0x004ab288	SKIP_DEFINED_DATA	pointer
0x004ab2d8	SKIP_DEFINED_DATA	pointer
0x004ac660	CREATED	FUN_004ac660	size=189
0x004acd64	SKIP_DEFINED_DATA	pointer
0x004acde0	SKIP_DEFINED_DATA	pointer
0x004ace4c	SKIP_DEFINED_DATA	pointer
0x004acef0	SKIP_DEFINED_DATA	pointer
0x004acf98	SKIP_DEFINED_DATA	pointer
0x004acfe8	SKIP_DEFINED_DATA	pointer
0x004b3f20	CREATED	FUN_004b3f20	size=34
0x004b4070	CREATED	FUN_004b4070	size=13
0x004b49b0	CREATED	FUN_004b49b0	size=206
