rva	name	subsystem	reason
004929d0	FUN_004929d0	util	callee-gate: 0040b430=C1,0040b540=C1,0040b6d0=C1,0040b6e0=C1,0040b700=C1,0040d440=C1,0040e450=C1,0040e460=C1,0042b8e0=C1,0042b910=C1,0042b940=C1,0042c1c0=C1,0042c1d0=C1,0042c220=C1,00448700=C1,004927c0=C1
00492e90	FUN_00492e90	boot	callee-gate: 0042a9f0=C1,0042d390=C1,0042f530=C1,00433f40=C1,00492440=C1,00492e60=C1
004af31a	LAB_004af31a	util	callee-gate: 004af2d4=C1,004af32d=C1
004950b0	FUN_004950b0	util	callee-gate: 00495120=C1
004cc230	FUN_004cc230	frontend	inline [UNCERTAIN U-3722] not in UNCERTAINTIES.md (heading=## mechanical description)
00499820	sub_00499820	boot	live-state-side-effect: fclose on live FILE* (in ## stubs encountered (callees not yet reversed))
00496470	sub_00496470	boot	live-state-side-effect: fclose on live FILE* (in (preamble))
00496490	sub_00496490	boot	inline bare [UNCERTAIN] (heading=## why c2)
004c1be0	sub_004c1be0	frontend	callee-gate: 00493fd0=C1,004c7730=C1
00495280	FUN_00495280	render	callee-gate: 00402b70=C1,004b6570=C1
004952f0	FUN_004952f0	render	callee-gate: 004b65c0=C1,004b67a0=C1
004368e0	FUN_004368e0	frontend	callee-gate: 00427f00=C1,0042e8b0=C1,0042fab0=C1,00458630=C0
0042ac50	FUN_0042ac50	frontend	signature-unsupported: fastcall ECX/EDX args
00430b30	FUN_00430b30	frontend	signature-unsupported: in_EAX arg
0040de30	sub_0040de30	render	callee-gate: 004c1480=C1
0040df20	sub_0040df20	render	callee-gate: 004c1480=C1
00404320	sub_00404320	render	callee-gate: 00403c60=C1
00410b30	sub_00410b30	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00431b80	FUN_00431b80	frontend	inline bare [UNCERTAIN] (heading=## why c2 (drift-promote from c1, 2026-05-14))
0042f020	FUN_0042f020	frontend	signature-unsupported: fastcall ECX/EDX args
00431d00	FUN_00431d00	frontend	signature-unsupported: in_EAX arg
00495080	FUN_00495080	frontend	callee-gate: 00494fd0=C1
00494f30	FUN_00494f30	frontend	callee-gate: 00493fc0=C1
00492d30	FUN_00492d30	util	callee-gate: 004030d0=C1,004111c0=C1,0043d7c0=C1,0043dfd0=C1,00496920=C1,00498860=C1
00420050	PerPlayerViewportRender	render	callee-gate: 004c1b40=C0,004e4320=C1,004e4350=C1,004e4900=C1,004e6680=C1
00425e40	FUN_00425e40	render	callee-gate: 004c1b40=C0,004e6100=C1
00475e50	FUN_00475e50	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00475d30	FUN_00475d30	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00477810	FUN_00477810	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00477a10	FUN_00477a10	render	inline bare [UNCERTAIN] (heading=## mechanical description)
0042f660	DefaultViewportCameraInit	render	callee-gate: 0042d420=C1,0042f530=C1,004c1a40=C0,004c1b10=C1,004c1d30=C0
0041faf0	VehicleShadowRender	render	callee-gate: 00476a10=C1,004c0ed0=C1,004c45f0=C1,004c4d20=C1,004c52f0=C1
0041fcc0	TireMarkRender	render	callee-gate: 00476a10=C1,004c45f0=C1,004c4d20=C1,004c52f0=C1
0041f8f0	FUN_0041f8f0	render	callee-gate: 004b42c0=C1,004c1340=C1,004c1680=C1,004e4320=C1,004e4350=C1
004c51a0	RwMatrixTranslate	render	inline bare [UNCERTAIN] (heading=## d-4360 partial — lab_00554940 im2d per-glyph vertex emission)
00429bd0	FUN_00429bd0	util	callee-gate: 00401340=C1,004013f0=C1,0040dc80=C1,00429620=C1,00429b70=C1
00424eb0	FUN_00424eb0	util	callee-gate: 00408b00=C1,00409290=C1,0040b290=C1,0040dc90=C1,0040eee0=C1,00421690=C1,00443080=C1,0046baa0=C1,00486f90=C1
00442440	FUN_00442440	util	callee-gate: 0040dc90=C1,0046d4a0=C1,004c4d20=C1
004c5bc0	FUN_004c5bc0	render	live-state-side-effect: _unlink on live path (in ## why c2)
004215c0	FUN_004215c0	frontend	callee-gate: 004039f0=C1,0040be50=C1
004cd070	RwRenderPrimitiveSubmit	render	callee-gate: 004d40d0=C1
004cd2d0	RwRenderIndexedSubmit	render	callee-gate: 004d40c0=C1,004d40d0=C1
004c1c10	Camera::SetProjection	util	signature-unsupported: in_ST0 (FPU) arg
004b6640	FUN_004b6640	boot	callee-gate: 00550430=C1,005504d0=C1,00551330=C1
004b6560	thunk_FUN_004b6610	boot	callee-gate: 00429290=C1
004b6610	FUN_004b6610	boot	callee-gate: 00429290=C1
004283a0	FUN_004283a0	boot	callee-gate: 004c5cb0=C1,004ce2d0=C1
004275d0	FUN_004275d0	boot	callee-gate: 00427580=C1,00552920=C1,00553cf0=C1,00553e80=C1,00553ef0=C1
004881d0	FUN_004881d0	boot	callee-gate: 004880a0=C1,004c0b30=C1,004e7e30=C1,004e8090=C1,00534b60=C1
0047ba00	FUN_0047ba00	boot	callee-gate: 00496940=C1
0041b450	FUN_0041b450	boot	callee-gate: 0041ad60=C1,0042a5d0=C1,004c5c80=C1
0041bec0	FUN_0041bec0	boot	callee-gate: 0041b690=C1,0042a5d0=C1,004c5c80=C1
0041cb10	FUN_0041cb10	boot	callee-gate: 0041c320=C1,0042a5d0=C1,004c5c80=C1,004e6ab0=C1
0041d6e0	FUN_0041d6e0	boot	callee-gate: 0041cd20=C1,0042a5d0=C1,004c5c80=C1
0041def0	FUN_0041def0	boot	callee-gate: 0042a5d0=C1,004b51d0=C1,004b52f0=C1,004c0b30=C1,004c1040=C1,004c1340=C1,004e69a0=C1,004e7e30=C1
0041d8b0	FUN_0041d8b0	boot	callee-gate: 0042a5d0=C1,004b51d0=C1,004b52f0=C1
0041c100	FUN_0041c100	boot	callee-gate: 0042a5d0=C1,004b51d0=C1
0041db90	FUN_0041db90	boot	callee-gate: 0042a5d0=C1,004b51d0=C1,004b52f0=C1
0041a1e0	FUN_0041a1e0	boot	callee-gate: 0042a5d0=C1,004b51d0=C1,004b52f0=C1
0041eaa0	FUN_0041eaa0	boot	callee-gate: 00476cb0=C1,004770c0=C1,004b48e0=C1,004c0b30=C1
00494f20	thunk_FUN_00494460	boot	callee-gate: 00494460=C1
00421590	thunk_FUN_004210f0	boot	callee-gate: 004210f0=C1,004768c0=C1
0041a3d0	FUN_0041a3d0	boot	callee-gate: 004e6e00=C1
0041de70	FUN_0041de70	boot	callee-gate: 004e6e00=C1
0041c2c0	FUN_0041c2c0	boot	callee-gate: 004e6e00=C1
0041da80	FUN_0041da80	boot	callee-gate: 004e6e00=C1
00425ed0	FUN_00425ed0	boot	callee-gate: 004c5930=C1,004e6e00=C1
00496ce0	FUN_00496ce0	boot	callee-gate: 004d41e0=C1
0041d890	FUN_0041d890	boot	callee-gate: 0041d6d0=C1
0041c0e0	FUN_0041c0e0	boot	callee-gate: 0041beb0=C1
0041b660	FUN_0041b660	boot	callee-gate: 0041ad60=C1,0041b440=C1,004c5930=C1
0041ccf0	FUN_0041ccf0	boot	callee-gate: 0041cb00=C1,004c5930=C1
0041e0d0	FUN_0041e0d0	boot	callee-gate: 004c0c20=C0,004e6920=C1,004e6e00=C1,004e7e30=C1
00425bc0	FUN_00425bc0	boot	callee-gate: 004c5c80=C1
0042c2a0	FUN_0042c2a0	boot	callee-gate: 004c5930=C1,004e5700=C1
00428400	FUN_00428400	boot	callee-gate: 004ce2d0=C1
00489250	FUN_00489250	boot	inline bare [UNCERTAIN] (heading=## why c2)
0041ffb0	FUN_0041ffb0	boot	callee-gate: 0041ec00=C1,004768c0=C1,004b4880=C1,004c0c20=C0
00494bc0	FUN_00494bc0	boot	inline bare [UNCERTAIN] (heading=## why c2)
0042d560	FUN_0042d560	render	callee-gate: 0042d420=C1,0042d4a0=C1,0042f530=C1,004c1a40=C0,004c1b10=C1,004c1d30=C0
004a2b60	FUN_004a2b60	frontend	callee-gate: 004a4ea8=C0,004a504f=C1
004cf160	FUN_004cf160	render	inline bare [UNCERTAIN] (heading=## why c2)
00401f10	FUN_00401f10	render	callee-gate: 00412130=C1,004e6680=C1
00403910	FUN_00403910	render	callee-gate: 004036a0=C1,004938e0=C1
00403fa0	FUN_00403fa0	render	signature-unsupported: in_EAX arg
00404650	FUN_00404650	render	callee-gate: 0041f290=C1,004c1480=C1,004e6680=C1
004072e0	FUN_004072e0	render	callee-gate: 00406130=C1,004b59c0=C1
0040bde0	FUN_0040bde0	render	callee-gate: 00412100=C1,00413f50=C1,00421560=C1,00457610=C1,00486220=C1,00486f50=C1,00487de0=C1,0048ad50=C1,0048baf0=C1,0048e7b0=C1,0048fce0=C1,0048fd10=C1,0048fd40=C1,0048fd70=C1,00490490=C1
00413a00	FUN_00413a00	render	inline bare [UNCERTAIN] (heading=## mechanical description)
00413a40	FUN_00413a40	render	inline bare [UNCERTAIN] (heading=## mechanical description)
004189c0	FUN_004189c0	render	callee-gate: 00419530=C1
0041ebb0	FUN_0041ebb0	render	callee-gate: 004770a0=C1
004219c0	FUN_004219c0	render	callee-gate: 00421720=C1
00422570	FUN_00422570	render	callee-gate: 00472500=C1,00477e60=C1,00477f50=C1,004b4ad0=C1,004c3d90=C1
0041f1e0	FUN_0041f1e0	util	callee-gate: 004c0ed0=C1
0046d400	FUN_0046d400	render	callee-gate: 00538c80=C1
0041cb80	sub_0041cb80	util	callee-gate: 0040b890=C1,0041c380=C1
0041d730	sub_0041d730	util	callee-gate: 0041cdb0=C1
00410860	FUN_00410860	util	callee-gate: 0040b6d0=C1,0040e460=C1,00424b80=C1,00429860=C1,00429b30=C1,0042aab0=C1,0043aee0=C1,00448700=C1
004262f0	FUN_004262f0	render	callee-gate: 00425b70=C1,00425bf0=C1,00425c00=C1
00426640	FUN_00426640	render	callee-gate: 0041e950=C1,0041ea70=C1
00426670	FUN_00426670	render	callee-gate: 004e4320=C1
004266b0	FUN_004266b0	render	callee-gate: 004e4320=C1,004e4350=C1
00426700	FUN_00426700	render	callee-gate: 004756e0=C1
00426780	FUN_00426780	render	callee-gate: 00475010=C1
00426810	sub_00426810	render	callee-gate: 004924c0=C1,004c1b10=C1,004c39b0=C1,004c3dc0=C1,004c4d20=C1
00426ab0	sub_00426ab0	render	callee-gate: 00467210=C1,00471ec0=C1,0047c160=C1,00491490=C1
00426e10	FUN_00426e10	render	callee-gate: 0042a530=C1,0042a8d0=C1,00462950=C1,004715a0=C1,00478660=C1,00479330=C1,0047a020=C1,0047a0f0=C1,0047c0b0=C1,0047c0f0=C1,00480340=C1,00491780=C1,004924c0=C1,004c1b10=C1
00404fa0	FUN_00404fa0	render	callee-gate: 004752d0=C1,00482ae0=C1,00532a60=C1,00546e70=C1
004773f0	FUN_004773f0	render	signature-unsupported: in_EAX arg
004dcaa0	FUN_004dcaa0	render	live-state-side-effect: Direct3D vtable on live device (in ## what it does)
004ccba0	FUN_004ccba0	render	live-state-side-effect: _unlink on live path (in ## decompilation (verbatim, verified 2026-05-13))
00428590	FUN_00428590	boot	inline bare [UNCERTAIN] (heading=## why c2)
004921d0	FUN_004921d0	boot	inline bare [UNCERTAIN] (heading=## notes)
004926c0	FUN_004926c0	boot	inline bare [UNCERTAIN] (heading=## notes)
00492770	FUN_00492770	boot	inline bare [UNCERTAIN] (heading=## decompilation summary)
00493480	FUN_00493480	util	inline bare [UNCERTAIN] (heading=## constants)
00431ae0	FUN_00431ae0	boot	callee-gate: 00431b10=C1
004b302f	__stricmp	util	callee-gate: 004a8828=C0,004ac869=C0,004ae5fa=C0,004b2eb0=C0
004c5a60	FUN_004c5a60	render	inline bare [UNCERTAIN] (heading=## why c2)
004caea0	FUN_004caea0	render	inline [UNCERTAIN U-3720] not in UNCERTAINTIES.md (heading=## why c2)
00471df0	FUN_00471df0	boot	callee-gate: 00471530=C1
00467110	FUN_00467110	render	callee-gate: 00467020=C1,004670a0=C1,004c0740=C0,004c0b30=C1,004c1a40=C0,004c1b10=C1,004c1d30=C0,004c2bf0=C0
004b5750	FUN_004b5750	render	callee-gate: 004c75e0=C1
005555b0	FUN_005555b0	render	callee-gate: 005c4d30=C1
004277a0	FUN_004277a0	frontend	signature-unsupported: in_EAX arg
