rva	name	subsystem	note
004b6b90	FUN_004b6b90	render	re/analysis/render_3_c1_to_c2_s6/FUN_004b6b90.md
004c4d20	RwMatrix_SetRotAxisAngle	render	re/analysis/font_text_d2/font_text_d2-20260503.md
00488320	FUN_00488320	sky	re/analysis/bucket_sky_worldobj_dbg_video_hud_00484280_00555910/00488320.md
00485c20	FUN_00485c20	smplfzx	re/analysis/bucket_physics_smplfzx_00478cb0_0057c4b0/0x00485c20.md
0047be80	FUN_0047be80	track	re/analysis/bucket_track_00401630_0047c0f0/0047be80.md
00414060	FUN_00414060	util	re/analysis/timer_d3_cont1_a/0x00414060.md
004764e0	FUN_004764e0	util	re/analysis/random_rng_d2/0x004764e0.md
004944b0	FUN_004944b0	util	re/analysis/video_mci/0x004944b0.md
0049cfb0	FUN_0049cfb0	util	re/analysis/timer/0x0049cfb0.md
0049d080	FUN_0049d080	util	re/analysis/timer/0x0049d080.md
0049d240	FUN_0049d240	util	re/analysis/timer/0x0049d240.md
0049d270	FUN_0049d270	util	re/analysis/timer/0x0049d270.md
00420de0	FUN_00420de0	vehicle	re/analysis/vehicle_damage_d4/0x00420de0.md
0046c5f0	FUN_0046c5f0	vehicle	re/analysis/physics_collision_d4_breadth/0046c5f0.md
004840f0	FUN_004840f0	vehicle	re/analysis/bucket_vehicle_004820e0_00485420/004840f0.md
00484a50	FUN_00484a50	world-objects	re/analysis/bucket_sky_worldobj_dbg_video_hud_00484280_00555910/00484a50.md
