rva	name	subsystem	arg_type	note	callees
004314b0	FUN_004314b0	frontend	unknown	re/analysis/hud_frontend_d2/0x004314b0.md	0040bb50,00427e00,004282a0,0042ac50,0042b8b0,0042b8c0,00473870,004739f0,004a2c48,005cc324,005cc560,005cc72c,005cc9a4,005cc9f4,005cd5a8,005cd8e4,005cd8e8,005f6f90,0067e830,0067e834,0067e9f8,0067ed38,0067ed78,007d3ff8,007f0f30
00431710	FUN_00431710	frontend	unknown	re/analysis/hud_frontend_d2/0x00431710.md	0040bb50,004282a0,0042ac00,0042ac50,0042b8b0,0042b8c0,00472c60,00473870,004739f0,004a2c48,005cc31c,005cc320,005cc324,005cc560,005cc568,005cc72c,005cc9a4,005cc9b8,005cc9f4,005cd8d8,0067e820,0067e824,0067eaa8,007d3ff8
0043aa30	FUN_0043aa30	frontend	unknown	re/analysis/hud_frontend_d2/0x0043aa30.md	00427e00,00427f00,004282a0,0042bcb0,0042f8d0,0042fab0,0043ad6f,004739f0,004a2c48,005cc35c,005cc574,005cc9b0,005cc9f4,005ccd0c,005cd274,005cd95c,005cda6c,0067e7e4,0067e938,0067ea7c,007d3ff8,007f0fe8,007f1a1c
00430120	FUN_00430120	frontend	unknown	re/analysis/hud_frontend_d2/0x00430120.md	00427e00,0067e818,0067e81c,0067e9f8,0067ed40,007d3ff8,007f0fe8
0042bcb0	FUN_0042bcb0	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0042bcb0.md	004b5750,004c5c00,005cc560,005cc724,005cd18c,005cd5a8,005cd76c,005cd770,005cd774,005cd776,005cd778,00616038,00636ac8,007d3ff8,007e96fc
004368e0	FUN_004368e0	frontend	unknown	re/analysis/hud_frontend_d5/0x004368e0.md	0040bb50,00427e00,00427f00,0042b8b0,0042b8c0,0042e8b0,0042ed70,0042ef40,0042fab0,00430760,004309b0,004368e5,004368f7,00436906,00436918,00436930,00436939,00436944,00436957,00436963,00436a9b,00438b20,00438c30,00438ddc,00458630,00472c60,00473870,004739f0,004a2b60,004a2c48,005f65c8,005f7370,0067e9f8,0067e9fc,0067ea60,0067ea64,0067ed38,0067f17c,007f0a40,007f0cb0,007f0db4,007f0de8,007f1004,007f1a14,007f1a1c,007f1a24,007f1a34,007f1a44
00458630	FUN_00458630	frontend	unknown	re/analysis/frontend_hud_dispatcher_ae2/0x00458630.md	004c5c00,005ce4fc,005ce594,0068b9ac
004736c0	FUN_004736c0	frontend	unknown	re/analysis/font_pools_frontend_ae6/0x004736c0.md	0042b8b0,0042b8c0,004736c2,004736c9,004736d0,004736d7,004736de,004736f0,004736f8,00473835,00473840,00473848,00473850,00473858,00473860,00473867,005cc560,005cd5a8,007d3ff8
00403050	FUN_00403050	frontend	unknown	re/analysis/loading_screen/0x00403050.md	00402fb0,00428760,0042b930,00492e90,00616038,00771964,007d3ff8
0040eee0	FUN_0040eee0	frontend	unknown	re/analysis/race_results/0040eee0.md	00408a50,00408a70,00408ad0,0040b290,0040b6d0,0040d590,0040e470,0040eef5,0040ef00,0040ef1c,0040ef26,0040ef2b,0040ef5c,0040ef60,0040efa5,0040efba,0040efcd,0040efd3,0040efee,0040f003,0040f00c,0040f065,0040f09e,0040f1e8,0040f219,0040f387,0040f4b0,0040f55c,0040f5a0,0040f5b6,0040f8bc,0040f948,0040fbbb,0040fbc1,0040fbef,0040fbf8,0040fbfc,00422fd0,0042f500,0042f6a0,00431d80,0046c700,0046c7b0,005cc568,005cc730,005ccd48,005ccd6c,005ccd98,005ccdb4,005ccdcc,007f0fd0,007f0fd8,007f1a18
0040b290	FUN_0040b290	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/0040b290.md	0040b296,0040b2d5,0040b2f9,0040b305,0040b315,0040b31f,0040b325,0040b32b,0040b331,0040b34b,0040e340,0040e350,0040e370,0042f500,007e9de0,007e9de4,007ea1e4,007ea5e4,007ea9e4,007f0fd0,007f0fd4,007f1014,007f1030,007f1a18
0040d590	FUN_0040d590	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/0040d590.md	00408ad0,0040b290,00422fd0,005cc568,005cc730,005ccd6c
