rva	class	size	subsystem	name
0x005af230	exercised_inrace	47	audio	c0
0x00482900	never	48	vehicle	c0
0x004cbad0	never	48	render	c0
0x004d5310	never	48	render	c0
0x005a6d60	exercised_inrace	48	audio	c0
0x00457610	exercised_inrace	49	gameplay	c0
0x00486f50	exercised_inrace	49	particle	c0
0x0048f740	exercised_inrace	49	util	c0
0x0049fc80	exercised_inrace	49	particle	c0
0x004b5190	never	49	vehicle	c0
0x005571e0	never	49	hud	c0
0x004c3270	never	50	render	c0
0x005a6e10	exercised_inrace	50	audio	c0
0x005ba720	never	50	audio	c0
0x0041f1e0	exercised_inrace	51	util	c0
0x00496370	never	55	input	c0
0x004b9850	never	55	input	c0
0x005ad6f0	never	55	audio	c0
0x005ae470	never	55	audio	c0
0x004778e0	exercised_inrace	56	render	c0
0x0047f480	never	56	gameplay	c0
0x00489250	never	56	boot	c0
0x004b7140	never	56	input	c0
0x004cb070	exercised_inrace	56	render	c0
0x005ab1c0	exercised_inrace	56	audio	c0
0x0040cf40	never	57	gameplay	c0
0x0042d560	never	57	render	c0
0x00475ef0	exercised_inrace	57	render	c0
0x004e66d0	exercised_inrace	57	render	c0
0x005a6030	never	58	audio	c0
0x005ad2e0	exercised_inrace	58	audio	c0
0x00485420	never	59	vehicle	c0
0x004c7a20	never	59	render	c0
0x005aa7a0	exercised_inrace	60	audio	c0
0x004ec730	never	10	render	c0
0x004ec750	never	11	render	c0
0x005c4d20	never	12	boot	c0
0x004f8660	exercised_inrace	14	render	c0
0x004f8690	exercised_inrace	14	render	c0
0x0049a730	never	16	render	c0
0x00407580	never	17	gameplay	c0
0x005c4df0	never	17	boot	c0
0x0041e850	never	22	hud	c0
0x005c2f58	never	22	boot	c0
0x005c4ab0	never	23	boot	c0
0x0047cde0	never	27	gameplay	c0
0x0047ce20	never	27	gameplay	c0
0x004cfee0	exercised_inrace	28	render	c0
0x0052ddc0	never	35	util	c0
0x00490f50	never	39	render	c0
0x00490f80	never	39	render	c0
0x004f3cb0	exercised_inrace	39	render	c0
0x004cb490	never	42	render	c0
0x0052df40	never	45	util	c0
0x0045dfc0	exercised_inrace	46	util	c0
0x00426030	exercised_inrace	47	render	c0
