rw_name	module	return_type	arg_signature	source_file	line	also_in
RwFrameSetFreeListCreateParams	frame	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	916	
RwFrameSetIdentity	frame	RwFrame*	RwFrame* frame	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	876	
RwFrameSetStreamAlwaysCallBack	frame	RwInt32	RwUInt32 pluginID, RwPluginDataChunkAlwaysCallBack alwaysCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	1029	
RwFrameTransform	frame	RwFrame*	RwFrame* frame, const RwMatrix* m, RwOpCombineType combine	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	868	
RwFrameTranslate	frame	RwFrame*	RwFrame* frame, const RwV3d* v, RwOpCombineType combine	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	856	
RwFrameUpdateObjects	frame	RwFrame*	RwFrame* frame	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	912	
RwFrameValidatePlugins	frame	RwBool	const RwFrame* frame	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	953	
RwFreeListCreateAndPreallocateSpace	other	RwFreeList*	RwInt32 entrySize, RwInt32 entriesPerBlock, RwInt32 alignment, RwInt32 numBlocksToPreallocate, RwFreeList* inPlaceSpaceForFreeListStruct, RwUInt32 hint	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	13	
RwFreeListDestroy	other	RwBool	RwFreeList * freelist	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	17	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwFreeListForAllUsed	other	RwFreeList*	RwFreeList* freelist, RwFreeListCallBack fpCallBack, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	33	
RwFreeListGetFlags	other	RwUInt32	RwFreeList* freeList	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	25	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwFreeListPurge	other	RwInt32	RwFreeList * freelist	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	29	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwFreeListPurgeAllFreeLists	other	RwInt32	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	37	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwFreeListSetFlags	other	void	RwFreeList* freeList, RwUInt32 flags	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	21	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwIm2DGetFarScreenZ	im2d	RwReal	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	5598	
RwIm2DGetNearScreenZ	im2d	RwReal	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	5597	
RwIm2DRenderLine	im2d	RwBool	RwIm2DVertex *vertices, RwInt32 numVertices, RwInt32 vert1, RwInt32 vert2	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	5603	
RwIm2DRenderPrimitive	im2d	RwBool	RwPrimitiveType primType, RwIm2DVertex *vertices, RwInt32 numVertices	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	5606	
RwIm3DEnd	im3d	RwBool	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	560	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwIm3DGetRenderPipeline	im3d	RxPipeline*	RwPrimitiveType primType	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	584	
RwIm3DGetTransformPipeline	im3d	RxPipeline*		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	580	
RwIm3DRenderIndexedPrimitive	im3d	RwBool	RwPrimitiveType primType, RwImVertexIndex* indices, RwInt32 numIndices	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	572	
RwIm3DRenderLine	im3d	RwBool	RwInt32 vert1, RwInt32 vert2	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	564	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwIm3DRenderPrimitive	im3d	RwBool	RwPrimitiveType primType	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	576	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwIm3DRenderTriangle	im3d	RwBool	RwInt32 vert1, RwInt32 vert2, RwInt32 vert3	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	568	
RwIm3DSetRenderPipeline	im3d	RxPipeline*	RxPipeline* pipeline, RwPrimitiveType primType	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	592	
RwIm3DSetTransformPipeline	im3d	RxPipeline*	RxPipeline* pipeline	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	588	
RwIm3DTransform	im3d	void*	RwIm3DVertex* pVerts, RwUInt32 numVerts, RwMatrix* ltm, RwUInt32 flags	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	556	
RwImageAllocatePixels	image	RwImage*	RwImage* image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	344	
RwImageApplyMask	image	RwImage*	RwImage* image, const RwImage* mask	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	352	
RwImageCreate	image	RwImage*	RwInt32 width, RwInt32 height, RwInt32 depth	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	336	
RwImageCreateResample	image	RwImage*	const RwImage* srcImage, RwInt32 width, RwInt32 height	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	828	
RwImageDestroy	image	RwBool	RwImage * image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	340	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwImageFindRasterFormat	image	RwImage*	RwImage* ipImage, RwInt32 nRasterType, RwInt32* npWidth, RwInt32* npHeight, RwInt32* npDepth, RwInt32* npFormat	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	848	
RwImageFormatSetFreeListCreateParams	image	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2391	
RwImageFreePixels	image	RwImage*	RwImage* image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	348	
RwImageGammaCorrect	image	RwImage*	RwImage* image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	376	
RwImageGetDepth	image	RwInt32	const RwImage * image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2436	
RwImageGetGamma	image	RwReal	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2450	
RwImageGetHeight	image	RwInt32	const RwImage * image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2435	
RwImageGetPluginOffset	image	RwInt32	RwUInt32 pluginID	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2463	
RwImageGetStride	image	RwInt32	const RwImage * image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2437	
RwImageGetWidth	image	RwInt32	const RwImage * image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2434	
RwImageMakeMask	image	RwImage*	RwImage* image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	356	
RwImageRead	image	RwImage*	const RwChar* imageName	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	364	
RwImageReadMaskedImage	image	RwImage*	const RwChar* imageName, const RwChar* maskname	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	360	
RwImageResample	image	RwImage*	RwImage* dstImage, const RwImage* srcImage	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	824	
RwImageSetFreeListCreateParams	image	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2389	
RwImageSetFromRaster	image	RwImage*	RwImage* image, RwRaster* raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	832	
RwImageSetGamma	image	RwBool	RwReal gammaValue	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	372	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwImageSetPath	image	const RwChar*	const RwChar* path	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	368	
RwImageStreamGetSize	image	RwInt32	const RwImage * image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2476	
RwImageValidatePlugins	image	RwBool	const RwImage * image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2464	
RwMatrixCreate	matrix	RwMatrix*		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	169	
RwMatrixDestroy	matrix	RwBool	RwMatrix* mpMat	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	165	
RwMatrixInvert	matrix	RwMatrix*	RwMatrix* matrixOut, const RwMatrix* matrixIn	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	185	
RwMatrixMultiply	matrix	RwMatrix*	RwMatrix* matrixOut, const RwMatrix* MatrixIn1, const RwMatrix* matrixIn2	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	173	
RwMatrixOptimize	matrix	RwMatrix*	RwMatrix* matrix, const RwMatrixTolerance* tolerance	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	213	
RwMatrixOrthoNormalize	matrix	RwMatrix*	RwMatrix* matrixOut, const RwMatrix* matrixIn	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	181	
