rw_name	module	return_type	arg_signature	source_file	line	also_in
RwRasterSetFromImage	raster	RwRaster*	RwRaster* raster, RwImage* image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	836	
RwRasterShowRaster	raster	RwRaster*	RwRaster* raster, void* dev, RwUInt32 flags	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	303	
RwRasterSubRaster	raster	RwRaster*	RwRaster* subRaster, RwRaster* raster, RwRect* rect	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	267	
RwRasterUnlock	raster	RwRaster*	RwRaster* raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	312	
RwRasterUnlockPalette	raster	RwRaster*	RwRaster* raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	320	
RwRasterValidatePlugins	raster	RwBool	const RwRaster * raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	1769	
RwRenderStateGet	renderstate	RwBool	RwRenderState state, void *value	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	5600	
RwRenderStateSet	renderstate	RwBool	RwRenderState state, void *value	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	5601	
RwResourcesAllocateResEntry	resources	RwResEntry*	void* owner, RwResEntry* ownerRef, RwInt32 size, RwResEntryDestroyNotify destroyNotify	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	425	
RwResourcesEmptyArena	resources	RwBool	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	421	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwResourcesFreeResEntry	resources	RwBool	RwResEntry * entry	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	429	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwResourcesGetArenaSize	resources	RwInt32	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	413	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwResourcesGetArenaUsage	resources	RwInt32	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	417	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwResourcesSetArenaSize	resources	RwBool	RwUInt32 size	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	409	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwStreamClose	stream	RwBool	RwStream* stream, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	53	
RwStreamFindChunk	stream	RwBool	RwStream* stream, RwUInt32 type, RwUInt32* lengthOut, RwUInt32* versionOut	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	437	
RwStreamOpen	stream	RwStream*	RwStreamType type, RwStreamAccessType accessType, const void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	49	
RwStreamRead	stream	RwUInt32	RwStream* stream, void* buffer, RwUInt32 length	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\RenderWare.h	60	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp
RwStreamReadChunkHeaderInfo	stream	RwStream*	RwStream* stream, RwChunkHeaderInfo* chunkHeaderInfo	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	469	
RwStreamReadInt16	stream	RwStream*	RwStream* stream, RwInt16* ints, RwUInt32 numBytes	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	465	
RwStreamReadInt32	stream	RwStream*	RwStream* stream, RwInt32* ints, RwUInt32 numBytes	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	461	
RwStreamReadReal	stream	RwStream*	RwStream* stream, RwReal* reals, RwUInt32 numBytes	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	457	
RwStreamSetFreeListCreateParams	stream	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	41	
RwStreamSkip	stream	RwStream*	RwStream* stream, RwUInt32 offset	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	65	
RwStreamWrite	stream	RwStream*	RwStream* stream, const void* buffer, RwUInt32 length	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	61	
RwStreamWriteInt16	stream	RwStream*	RwStream* stream, const RwInt16* ints, RwUInt32 numBytes	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	453	
RwStreamWriteInt32	stream	RwStream*	RwStream* stream, const RwInt32* ints, RwUInt32 numBytes	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	449	
RwStreamWriteReal	stream	RwStream*	RwStream* stream, const RwReal* reals, RwUInt32 numBytes	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	445	
RwTexDictionaryAddTexture	texdict	RwTexture*	RwTexDictionary* dict, RwTexture* texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	500	
RwTexDictionaryCreate	texdict	RwTexDictionary*		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	476	
RwTexDictionaryDestroy	texdict	RwBool	RwTexDictionary * dict	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	480	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTexDictionaryFindNamedTexture	texdict	RwTexture*	RwTexDictionary* dict, const RwChar* name	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	508	
RwTexDictionaryForAllTexDictionaries	texdict	RwBool	RwTexDictionaryCallBack fpCallBack, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	524	
RwTexDictionaryForAllTextures	texdict	const RwTexDictionary*	const RwTexDictionary* dict, RwTextureCallBack fpCallBack, void* data	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	520	
RwTexDictionaryGetCurrent	texdict	RwTexDictionary*		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	512	
RwTexDictionaryGetPluginOffset	texdict	RwInt32	RwUInt32 pluginID	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	540	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTexDictionaryGtaStreamRead	texdict	RwTexDictionary*	RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.cpp	17	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.h
RwTexDictionaryGtaStreamRead1	texdict	RwTexDictionary*	RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.cpp	21	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.h
RwTexDictionaryGtaStreamRead2	texdict	RwTexDictionary*	RwStream* stream, RwTexDictionary* txd	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.cpp	25	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.h
RwTexDictionaryRegisterPlugin	texdict	RwInt32	RwInt32 size, RwUInt32 pluginID, RwPluginObjectConstructor constructCB, RwPluginObjectDestructor destructCB, RwPluginObjectCopy copyCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	532	
RwTexDictionaryRegisterPluginStream	texdict	RwInt32	RwUInt32 pluginID, RwPluginDataChunkReadCallBack readCB, RwPluginDataChunkWriteCallBack writeCB, RwPluginDataChunkGetSizeCallBack getSizeCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	997	
RwTexDictionaryRemoveTexture	texdict	RwTexture*	RwTexture* texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	504	
RwTexDictionarySetCurrent	texdict	RwTexDictionary*	RwTexDictionary* dict	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	516	
RwTexDictionarySetFreeListCreateParams	texdict	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	472	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTexDictionarySetStreamAlwaysCallBack	texdict	RwInt32	RwUInt32 pluginID, RwPluginDataChunkAlwaysCallBack alwaysCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	1001	
RwTexDictionaryStreamGetSize	texdict	RwUInt32	const RwTexDictionary* texDict	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	1005	
RwTexDictionaryStreamRead	texdict	RwTexDictionary*	RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	1009	
RwTexDictionaryStreamWrite	texdict	const RwTexDictionary*	const RwTexDictionary* texDict, RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	1013	
RwTexDictionaryValidatePlugins	texdict	RwBool	const RwTexDictionary* dict	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	548	
RwTextureCreate	texture	RwTexture*	RwRaster* raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	484	
RwTextureDestroy	texture	RwBool	RwTexture * texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	492	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureGenerateMipmapName	texture	RwBool	RwChar* name, RwChar* maskName, RwUInt8 mipLevel, RwInt32 format	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	432	
RwTextureGetAddressing	texture	RwTextureAddressMode	const RwTexture *texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	3070	
RwTextureGetAddressingU	texture	RwTextureAddressMode	const RwTexture *texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	3071	
RwTextureGetAddressingV	texture	RwTextureAddressMode	const RwTexture *texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	3072	
RwTextureGetAutoMipmapping	texture	RwBool	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	412	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureGetFilterMode	texture	RwTextureFilterMode	const RwTexture *texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	3060	
RwTextureGetFindCallBack	texture	RwTextureCallBackFind	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	456	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureGetMipmapGenerationCallBack	texture	RwTextureCallBackMipmapGeneration		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	420	
RwTextureGetMipmapNameCallBack	texture	RwTextureCallBackMipmapName	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	428	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureGetMipmapping	texture	RwBool	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	404	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureGetPluginOffset	texture	RwInt32	RwUInt32 pluginID	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	536	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureGetReadCallBack	texture	RwTextureCallBackRead	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	448	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureGetUserDataArrayCount	texture	RwInt32	const RwTexture *texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpusrdat.h	103	
RwTextureGtaStreamRead	texture	RwTexture*	RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.cpp	13	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwtexdict.h
RwTextureRasterGenerateMipmaps	texture	RwBool	RwRaster* raster, RwImage* image	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	436	
RwTextureRead	texture	RwTexture*	const char* name, const char* maskName	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	488	
RwTextureRegisterPlugin	texture	RwInt32	RwInt32 size, RwUInt32 pluginID, RwPluginObjectConstructor constructCB, RwPluginObjectDestructor destructCB, RwPluginObjectCopy copyCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	528	
RwTextureRegisterPluginStream	texture	RwInt32	RwUInt32 pluginID, RwPluginDataChunkReadCallBack readCB, RwPluginDataChunkWriteCallBack writeCB, RwPluginDataChunkGetSizeCallBack getSizeCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	977	
RwTextureSetAutoMipmapping	texture	RwBool	RwBool enable	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	408	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureSetFindCallBack	texture	RwBool	RwTextureCallBackFind callBack	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	460	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureSetFreeListCreateParams	texture	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	2984	
RwTextureSetMaskName	texture	RwTexture*	RwTexture* texture, const RwChar* maskName	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	468	
RwTextureSetMipmapGenerationCallBack	texture	RwBool	RwTextureCallBackMipmapGeneration callback	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	416	
RwTextureSetMipmapNameCallBack	texture	RwBool	RwTextureCallBackMipmapName callback	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	424	
RwTextureSetMipmapping	texture	RwBool	RwBool enable	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	400	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureSetName	texture	RwTexture*	RwTexture* texture, const RwChar* name	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	464	
RwTextureSetRaster	texture	RwTexture*	RwTexture* texture, RwRaster* raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	496	
RwTextureSetReadCallBack	texture	RwBool	RwTextureCallBackRead callBack	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	452	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwTextureSetStreamAlwaysCallBack	texture	RwInt32	RwUInt32 pluginID, RwPluginDataChunkAlwaysCallBack alwaysCB	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	981	
RwTextureStreamGetSize	texture	RwUInt32	const RwTexture* texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	985	
RwTextureStreamRead	texture	RwTexture*	RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	989	
RwTextureStreamWrite	texture	const RwTexture*	const RwTexture* texture, RwStream* stream	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	993	
RwTextureValidatePlugins	texture	RwBool	const RwTexture * texture	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	544	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwV2dDotProduct	other	RwReal	const RwV2d * ina, const RwV2d * inb	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	4907	
RwV2dLength	other	RwReal	const RwV2d * in	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	241	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwV2dNormalize	other	RwReal	RwV2d * out, const RwV2d * in	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	245	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwV2dPerp	other	void	RwV2d * out, const RwV2d * in	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	4904	
RwV3dDotProduct	other	RwReal	const RwV3d * ina, const RwV3d * inb	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	4920	
RwV3dLength	other	RwReal	const RwV3d * in	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	237	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwV3dNegate	other	void	RwV3d * out, const RwV3d * in	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	4919	
RwV3dNormalize	other	RwReal	RwV3d * out, const RwV3d * in	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	233	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h
RwV3dTransformPoint	other	RwV3d*	RwV3d* pointOut, const RwV3d* pointIn, const RwMatrix* matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	249	
RwV3dTransformPoints	other	RwV3d*	RwV3d* pointsOut, const RwV3d* pointsIn, RwInt32 numPoints, const RwMatrix* matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	253	
RwV3dTransformVector	other	RwV3d*	RwV3d* vectorOut, const RwV3d* vectorIn, const RwMatrix* matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	257	
RwV3dTransformVectors	other	RwV3d*	RwV3d* vectorsOut, const RwV3d* vectorsIn, RwInt32 numPoints, const RwMatrix* matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	261	
_rtDictDestruct	internal-rt	RwBool	RtDict* dictionary	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rtdict.cpp	73	
_rtDictSchemaInitDict	internal-rt	RtDict*	RtDictSchema* schema, RtDict* dictionary	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rtdict.cpp	69	
_rtGCondCopyVertexInfo	internal-rt	void	RtGCondVertex* from, RtGCondVertex* to, RwInt32 index	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rtgcond.h	363	
_rtGCondDestroyVertexPolygonReference	internal-rt	void	RtGCondGeometryList* geometryList	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rtgcond.h	367	
_rtWorldImportGuideKDStackDestroy	internal-rt	void	_rtWorldImportGuideKDStack *stack	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rtimport.h	848	
_rwAMD3DNowSupported	internal-rw	RwBool	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	4062	
_rwD3D9DeviceGetRestoreCallback	internal-rw	rwD3D9DeviceRestoreCallBack		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	820	
_rwD3D9DeviceSetRestoreCallback	internal-rw	void	rwD3D9DeviceRestoreCallBack callback	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	816	
_rwD3D9DrawIndexedPrimitive	internal-rw	void	RwUInt32 primitiveType, RwInt32 baseVertexIndex, RwUInt32 minIndex, RwUInt32 numVertices, RwUInt32 startIndex, RwUInt32 primitiveCount	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	672	
_rwD3D9DrawIndexedPrimitiveUP	internal-rw	void	RwUInt32 primitiveType, RwUInt32 minIndex, RwUInt32 numVertices, RwUInt32 primitiveCount, const void* indexData, const void* vertexStreamZeroData, RwUInt32 VertexStreamZeroStride	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	664	
_rwD3D9DrawPrimitiveUP	internal-rw	void	RwUInt32 primitiveType, RwUInt32 primitiveCount, const void* vertexStreamZeroData, RwUInt32 VertexStreamZeroStride	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	668	
_rwD3D9LightDirectionalEnable	internal-rw	RwBool	RpLight* light	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	562	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9LightLocalEnable	internal-rw	RwBool	RpLight* light	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	566	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9LightsClose	internal-rw	void	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	574	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9LightsEnable	internal-rw	void	RwBool enable, RwUInt32 type	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	570	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9LightsGlobalEnable	internal-rw	RwBool	RpLightFlag flags	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	558	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9LightsOpen	internal-rw	RwBool	void	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	554	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9RasterConvertToNonPalettized	internal-rw	void	RwRaster* raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	808	
_rwD3D9RenderStateFlushCache	internal-rw	void		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	660	
_rwD3D9SetFVF	internal-rw	void	RwUInt32 fvf	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	684	
_rwD3D9SetPixelShader	internal-rw	void	void *shader	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	692	
_rwD3D9SetPixelShaderConstant	internal-rw	void	RwUInt32 registerAddress, const void* constantData, RwUInt32 constantCount	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	680	
_rwD3D9SetStreams	internal-rw	void	const RxD3D9VertexStream* streams, RwBool useOffsets	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	792	
_rwD3D9SetVertexShader	internal-rw	void	void *shader	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	688	
_rwD3D9SetVertexShaderConstant	internal-rw	void	RwUInt32 registerAddress, const void* constantData, RwUInt32 constantCount	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	676	
_rwD3D9VSGetComposedTransformMatrix	internal-rw	void		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	10	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9VSGetInverseWorldMatrix	internal-rw	void		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	22	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9VSGetNormalInLocalSpace	internal-rw	void	const RwV3d* normalWorldSpace, RwV3d* normalLocalSpace	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	54	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9VSGetPointInLocalSpace	internal-rw	void	const RwV3d* pointWorldSpace, RwV3d* pointLocalSpace	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	58	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9VSGetProjectionTransposedMatrix	internal-rw	void		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	50	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9VSGetRadiusInLocalSpace	internal-rw	void	RwReal radiusWorldSpace, RwReal* radiusLocalSpace	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	62	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9VSGetWorldMultiplyMatrix	internal-rw	void	RwMatrix* worldMultiplyMatrix, const RwMatrix* matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	26	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
_rwD3D9VSGetWorldMultiplyTransposeMatrix	internal-rw	void	void* worldMultiplyMatrix, const RwMatrix* matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.cpp	30	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rpworld.h
