rva	sub	name	size	n_callees	conv	nargs	ret	arg_type_today	runnable_today	sig_conf	fp	imports	com_d3d	rw_orch	rw_frac	twin	derefs_arg	reads_global	n_globals	cyclic
005b0b40	audio	FUN_005b0b40	31	1	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	0	0	0
005b0df0	audio	FUN_005b0df0	116	2	cdecl	1	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	1	0
005b0e70	audio	FUN_005b0e70	71	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b0f40	audio	FUN_005b0f40	15	1	cdecl	1	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b1030	audio	FUN_005b1030	65	2	cdecl	5	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b1080	audio	FUN_005b1080	18	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b10a0	audio	FUN_005b10a0	38	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b10d0	audio	thunk_FUN_005b10a0	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b10e0	audio	FUN_005b10e0	38	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b1110	audio	FUN_005b1110	33	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b1140	audio	FUN_005b1140	29	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b1160	audio	FUN_005b1160	29	0	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b11f0	audio	FUN_005b11f0	65	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b1260	audio	FUN_005b1260	663	9	cdecl	2	int	-	0	low	0	-	0	0	0.0	ok-asc	1	1	3	0
005b1500	audio	FUN_005b1500	203	3	cdecl	1	int	int_scalar	1	low	0	Win32	0	0	0.0	-	0	1	1	0
005b15d0	audio	thunk_FUN_005b1500	5	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	0	0
005b2080	audio	FUN_005b2080	266	3	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b2190	audio	FUN_005b2190	139	2	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b2220	audio	FUN_005b2220	842	1	cdecl	13	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b2820	audio	FUN_005b2820	439	0	cdecl	2	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005b29e0	audio	FUN_005b29e0	277	0	cdecl	2	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005b2b00	audio	FUN_005b2b00	736	2	cdecl	4	int	-	0	low	0	Win32	0	0	0.0	-	1	1	2	0
005b2de0	audio	FUN_005b2de0	142	3	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	0	0	0
005b3020	audio	FUN_005b3020	177	1	cdecl	6	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b30e0	audio	FUN_005b30e0	540	3	cdecl	9	int	-	0	low	0	Win32	0	0	0.0	-	1	1	2	0
005b3300	audio	FUN_005b3300	354	4	cdecl	2	int	-	0	low	0	Win32	0	0	0.0	-	1	1	2	0
005b34f0	audio	FUN_005b34f0	68	3	cdecl	0	int	none	1	low	0	-	0	0	0.0	ok-asc	0	0	4	0
005b3540	audio	FUN_005b3540	14	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	1	0
005b3550	audio	FUN_005b3550	39	2	cdecl	1	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b3620	audio	FUN_005b3620	77	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	ok-asc	1	0	0	0
005b36f0	audio	FUN_005b36f0	102	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	1	0
005b3760	audio	FUN_005b3760	668	3	cdecl	5	int	-	0	low	1	-	0	0	0.0	ok-asc	1	1	3	0
005b3a00	audio	FUN_005b3a00	291	4	cdecl	5	int	-	0	low	1	-	0	0	0.0	ok-asc	1	1	0	0
005b3b30	audio	FUN_005b3b30	38	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b3b60	audio	FUN_005b3b60	28	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b3b80	audio	FUN_005b3b80	726	7	cdecl	10	int	-	0	low	1	-	0	0	0.0	ok-asc	1	1	0	0
005b3e60	audio	FUN_005b3e60	500	2	cdecl	11	int	-	0	low	1	-	0	0	0.0	-	1	0	0	0
005b4150	audio	FUN_005b4150	145	1	cdecl	7	int	-	0	low	1	-	0	0	0.0	-	1	0	0	0
005b41f0	audio	FUN_005b41f0	314	2	cdecl	7	int	-	0	low	1	-	0	0	0.0	-	1	0	0	0
005b4850	audio	FUN_005b4850	1405	1	cdecl	7	int	-	0	low	1	-	0	0	0.0	ok-asc	1	0	6	0
005b51d0	audio	FUN_005b51d0	476	3	cdecl	8	int	-	0	low	1	-	0	0	0.0	ok-asc	1	1	5	0
005b53b0	audio	FUN_005b53b0	1200	2	cdecl	13	int	-	0	low	1	-	0	0	0.0	ok-asc	1	1	4	0
005b5860	audio	FUN_005b5860	471	0	cdecl	5	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b5e00	audio	FUN_005b5e00	359	1	fastcall/thiscall	10	int	-	0	low	1	-	0	0	0.0	-	1	1	0	0
005b5f70	audio	FUN_005b5f70	741	0	fastcall/thiscall	10	int	-	0	low	1	-	0	0	0.0	ok-asc	1	1	4	0
005b6260	audio	FUN_005b6260	211	0	cdecl	6	int	-	0	low	0	-	0	0	0.0	ambiguous	0	1	2	0
005b66c0	audio	FUN_005b66c0	73	2	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
005b6710	audio	FUN_005b6710	79	2	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b6760	audio	FUN_005b6760	185	1	cdecl	5	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
