va	file_off	section	encoding	length	text
0x005ccc98	0x1ccc98	.rdata	ascii	5	wfall
0x005ccca0	0x1ccca0	.rdata	ascii	6	scorch
0x005ccca8	0x1ccca8	.rdata	ascii	4	test
0x005cccb0	0x1cccb0	.rdata	ascii	13	Interface.txd
0x005cccc0	0x1cccc0	.rdata	ascii	15	TrackImages.txd
0x005cccd0	0x1cccd0	.rdata	ascii	10	badges.txd
0x005cccdc	0x1cccdc	.rdata	ascii	6	fx.txd
0x005ccce4	0x1ccce4	.rdata	ascii	26	d:\toastart\common\sfx.piz
0x005ccd21	0x1ccd21	.rdata	ascii	8	$tGshine
0x005ccd2c	0x1ccd2c	.rdata	ascii	26	toastart/vehicles/dirt.piz
0x005ccd48	0x1ccd48	.rdata	ascii	29	course LoadTime is %u (%.3f)

0x005ccd7e	0x1ccd7e	.rdata	ascii	24	/Dhere, numremaining=%d

0x005ccd98	0x1ccd98	.rdata	ascii	26	loser is %d, winner is %d

0x005ccdb4	0x1ccdb4	.rdata	ascii	20	numcarsremaining=%d

0x005ccdcc	0x1ccdcc	.rdata	ascii	23	car reset=%d, score=%d

0x005ccde4	0x1ccde4	.rdata	ascii	14	start of race

0x005cce10	0x1cce10	.rdata	ascii	11	%sAll%d.rep
0x005cce1c	0x1cce1c	.rdata	ascii	9	c:\toast\
0x005cce28	0x1cce28	.rdata	ascii	39	Replay buffer will be %d bytes in size

0x005cce50	0x1cce50	.rdata	ascii	26	GHOST Size ERROR %d != %d

0x005cce6c	0x1cce6c	.rdata	ascii	28	Hit intermediate 1 %d:%d:%f

0x005cce8c	0x1cce8c	.rdata	ascii	22	Hit intermediate 1 %d

0x005ccea4	0x1ccea4	.rdata	ascii	28	Hit intermediate 0 %d:%d:%f

0x005ccec4	0x1ccec4	.rdata	ascii	22	Hit intermediate 0 %d

0x005ccedc	0x1ccedc	.rdata	ascii	35	Time trial recording error time %d

0x005ccf00	0x1ccf00	.rdata	ascii	17	saving replay %s

0x005ccf14	0x1ccf14	.rdata	ascii	14	%sReplay%d.rep
0x005ccf24	0x1ccf24	.rdata	ascii	17	Time is too long

0x005ccf38	0x1ccf38	.rdata	ascii	19	
SplitTime 1 is %f

0x005ccf4c	0x1ccf4c	.rdata	ascii	19	
SplitTime 0 is %f

0x005ccf60	0x1ccf60	.rdata	ascii	32	
Replay Time comparing %f to %f

0x005ccf84	0x1ccf84	.rdata	ascii	17	ReplayTime is %f

0x005ccf98	0x1ccf98	.rdata	ascii	40	setting time attack record too %d:%d:%f

0x005ccfc4	0x1ccfc4	.rdata	ascii	29	creating replay of length %f

0x005ccfe4	0x1ccfe4	.rdata	ascii	29	replay size will be %d bytes

0x005cd020	0x1cd020	.rdata	ascii	9	lazer.dff
0x005cd130	0x1cd130	.rdata	ascii	9	airstrike
0x005cd13c	0x1cd13c	.rdata	ascii	10	exocet.dff
0x005cd148	0x1cd148	.rdata	ascii	9	crosshair
0x005cd154	0x1cd154	.rdata	ascii	10	crosshair2
0x005cd160	0x1cd160	.rdata	ascii	9	shockwave
0x005cd16c	0x1cd16c	.rdata	ascii	12	BTBPanel.dff
0x005cd17c	0x1cd17c	.rdata	ascii	9	ghost.dff
0x005cd198	0x1cd198	.rdata	ascii	6	panel2
0x005cd1a0	0x1cd1a0	.rdata	ascii	6	panel1
0x005cd1a8	0x1cd1a8	.rdata	ascii	6	panel0
0x005cd1b0	0x1cd1b0	.rdata	ascii	9	panel.txd
0x005cd1bc	0x1cd1bc	.rdata	ascii	10	team1panel
0x005cd1c8	0x1cd1c8	.rdata	ascii	10	team0panel
0x005cd1d4	0x1cd1d4	.rdata	ascii	11	KCPanel.dff
0x005cd1e0	0x1cd1e0	.rdata	ascii	17	endpointpanel.dff
0x005cd1f4	0x1cd1f4	.rdata	ascii	17	endpointpanel.txd
0x005cd208	0x1cd208	.rdata	ascii	15	teameppanel.dff
0x005cd218	0x1cd218	.rdata	ascii	15	startlights.dff
0x005cd24c	0x1cd24c	.rdata	ascii	14	stopclock2.dff
0x005cd25c	0x1cd25c	.rdata	ascii	10	car_shadow
0x005cd268	0x1cd268	.rdata	ascii	4	beam
0x005cd27f	0x1cd27f	.rdata	ascii	5	B.piz
0x005cd288	0x1cd288	.rdata	ascii	18	toastart/vehicles/
0x005cd29c	0x1cd29c	.rdata	ascii	4	.dff
0x005cd2a4	0x1cd2a4	.rdata	ascii	4	.txd
0x005cd2d0	0x1cd2d0	.rdata	ascii	11	debris4.dff
0x005cd2dc	0x1cd2dc	.rdata	ascii	11	debris3.dff
0x005cd2e8	0x1cd2e8	.rdata	ascii	11	debris2.dff
0x005cd2f4	0x1cd2f4	.rdata	ascii	11	debris1.dff
0x005cd300	0x1cd300	.rdata	ascii	11	debris0.dff
0x005cd330	0x1cd330	.rdata	ascii	25	d:\ToastArt\Common\ai.piz
0x005cd34c	0x1cd34c	.rdata	ascii	46	turbo effective    %d      %d      %d      %d

0x005cd37c	0x1cd37c	.rdata	ascii	46	number of crowns   %d      %d      %d      %d

0x005cd3ac	0x1cd3ac	.rdata	ascii	46	number of pants    %d      %d      %d      %d

0x005cd3dc	0x1cd3dc	.rdata	ascii	45	cleanest line      %.2f   %.2f   %.2f   %.2f

0x005cd41c	0x1cd41c	.rdata	ascii	9	jetranger
0x005cd428	0x1cd428	.rdata	ascii	7	CivHuey
0x005cd430	0x1cd430	.rdata	ascii	10	CivChinook
0x005cd43c	0x1cd43c	.rdata	ascii	6	Apache
0x005cd444	0x1cd444	.rdata	ascii	21	No such atomic as %d

0x005cd45c	0x1cd45c	.rdata	ascii	40	ToastArt/common/perm/Copters/Copters.txd
0x005cd488	0x1cd488	.rdata	ascii	8	%s%s%s%s
0x005cd498	0x1cd498	.rdata	ascii	6	tracks
0x005cd4a0	0x1cd4a0	.rdata	ascii	8	ToastArt
0x005cd4b0	0x1cd4b0	.rdata	ascii	13	KTCScript.lua
0x005cd4c0	0x1cd4c0	.rdata	ascii	16	toastart/tracks/
0x005cd4d4	0x1cd4d4	.rdata	ascii	12	powerups.lua
0x005cd4e4	0x1cd4e4	.rdata	ascii	17	powerups_gold.dff
0x005cd4f8	0x1cd4f8	.rdata	ascii	17	powerups_gold.lua
0x005cd524	0x1cd524	.rdata	ascii	15	Loaded AI data

0x005cd534	0x1cd534	.rdata	ascii	29	clearing all line exceptions

0x005cd554	0x1cd554	.rdata	ascii	32	Loaded existing line exceptions

0x005cd578	0x1cd578	.rdata	ascii	11	LAPDATA.LUA
0x005cd584	0x1cd584	.rdata	ascii	10	COURSE.LUA
0x005cd590	0x1cd590	.rdata	ascii	22	Opening piz file [%s]

0x005cd5b4	0x1cd5b4	.rdata	ascii	11	Italian.dat
0x005cd5c0	0x1cd5c0	.rdata	ascii	11	Spanish.dat
0x005cd5cc	0x1cd5cc	.rdata	ascii	10	German.dat
0x005cd5d8	0x1cd5d8	.rdata	ascii	10	french.dat
0x005cd5e4	0x1cd5e4	.rdata	ascii	11	english.dat
0x005cd60c	0x1cd60c	.rdata	ascii	10	fgdc20.rwf
0x005cd628	0x1cd628	.rdata	ascii	8	DolbyDig
0x005cd634	0x1cd634	.rdata	ascii	10	proLogicII
0x005cd640	0x1cd640	.rdata	ascii	4	bigE
0x005cd648	0x1cd648	.rdata	ascii	13	MashedNEWLogo
0x005cd67c	0x1cd67c	.rdata	ascii	11	Jun 14 2004
0x005cd688	0x1cd688	.rdata	ascii	8	11:39:38
0x005cd6ac	0x1cd6ac	.rdata	ascii	22	time trial time is %f

0x005cd6f0	0x1cd6f0	.rdata	ascii	4	.spl
0x005cd6f8	0x1cd6f8	.rdata	ascii	4	.uva
0x005cd700	0x1cd700	.rdata	ascii	4	.bsp
0x005cd708	0x1cd708	.rdata	ascii	9	gamecube/
0x005cd718	0x1cd718	.rdata	ascii	5	xbox/
0x005cd720	0x1cd720	.rdata	ascii	4	ps2/
0x005cd728	0x1cd728	.rdata	ascii	25	Unable to find %s in piz

0x005cd744	0x1cd744	.rdata	ascii	22	Searching piz for %s 

0x005cd760	0x1cd760	.rdata	ascii	8	No Track
0x005cd770	0x1cd770	.rdata	ascii	6	joypad
0x005cd778	0x1cd778	.rdata	ascii	8	keyboard
0x005cd798	0x1cd798	.rdata	ascii	4	%s%d
0x005cd7b8	0x1cd7b8	.rdata	ascii	4	lock
0x005cd7c0	0x1cd7c0	.rdata	ascii	9	QuickRace
0x005cd7cc	0x1cd7cc	.rdata	ascii	11	MultiPlayer
0x005cd7d8	0x1cd7d8	.rdata	ascii	7	GoldCup
0x005cd7e0	0x1cd7e0	.rdata	ascii	9	SilverCup
0x005cd7ec	0x1cd7ec	.rdata	ascii	9	BronzeCup
0x005cd7f8	0x1cd7f8	.rdata	ascii	9	GoldMedal
0x005cd804	0x1cd804	.rdata	ascii	11	SilverMedal
