file,depth,section_id_hex,size,version,parent_section_id
original/toastaudio/pc/audio/pcdics/italian/melon.rws,1,0x0000080F,6195200,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/italian/pink.rws,0,0x0000080D,7974900,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/italian/pink.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/italian/pink.rws,1,0x0000080F,7966720,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/italian/red.rws,0,0x0000080D,5640180,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/italian/red.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/italian/red.rws,1,0x0000080F,5632000,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/italian/shadow.rws,0,0x0000080D,6612980,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/italian/shadow.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/italian/shadow.rws,1,0x0000080F,6604800,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/bluejay.rws,0,0x0000080D,6469620,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/spanish/bluejay.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/bluejay.rws,1,0x0000080F,6461440,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/gold.rws,0,0x0000080D,6674420,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/spanish/gold.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/gold.rws,1,0x0000080F,6666240,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/melon.rws,0,0x0000080D,6684660,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/spanish/melon.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/melon.rws,1,0x0000080F,6676480,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/pink.rws,0,0x0000080D,6715380,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/spanish/pink.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/pink.rws,1,0x0000080F,6707200,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/red.rws,0,0x0000080D,6520820,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/spanish/red.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/red.rws,1,0x0000080F,6512640,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/shadow.rws,0,0x0000080D,5926900,0x1C02000E,none
original/toastaudio/pc/audio/pcdics/spanish/shadow.rws,1,0x0000080E,8156,0x1C02000E,0x0000080D
original/toastaudio/pc/audio/pcdics/spanish/shadow.rws,1,0x0000080F,5918720,0x1C02000E,0x0000080D
