idx,input,original,original_bits,reimpl,reimpl_bits,match,err_original,err_reimpl
0,0,,,,,True,system error,system error
1,1,,,,,True,system error,system error
2,2,,,,,True,system error,system error
3,3,,,,,True,system error,system error
4,4,,,,,True,system error,system error
5,5,,,,,True,system error,system error
6,6,,,,,True,system error,system error
7,7,,,,,True,system error,system error
8,8,,,,,True,system error,system error
9,9,,,,,True,system error,system error
