idx,input,original,original_bits,reimpl,reimpl_bits,match,err_original,err_reimpl
0,"[0, 0]",0x663670,,0x663670,,True,,
1,"[1, 0]",0x6636bc,,0x6636bc,,True,,
2,"[2, 0]",0x663708,,0x663708,,True,,
3,"[3, 0]",0x663754,,0x663754,,True,,
4,"[0, 1]",0x66367c,,0x66367c,,True,,
5,"[1, 1]",0x6636c8,,0x6636c8,,True,,
6,"[2, 1]",0x663714,,0x663714,,True,,
7,"[3, 1]",0x663760,,0x663760,,True,,
8,"[0, 2]",0x663688,,0x663688,,True,,
9,"[1, 2]",0x6636d4,,0x6636d4,,True,,
