pc_va,xbox_va,tier,pc_name,subsystem,confidence,scaffold
0x0041db90,0x001c3ff0,string,FUN_0041db90,boot,C2,ambiguous
0x0041def0,0x001c3670,string,FUN_0041def0,boot,C2,ambiguous
0x0041e0d0,0x001c35a0,mnem,FUN_0041e0d0,boot,C2,ambiguous
0x0041e4b0,0x001c3370,mnem,FUN_0041e4b0,render,C2,flag
0x0041e850,0x001c3600,mnem,sub_0041e850,hud,C2,ambiguous
0x0041e870,0x001c32a0,string,TrackNodeRecordScan,render,C3,ambiguous
0x0041e980,0x001c31a0,string,TrackNodeRecordFind,render,C3,ambiguous
0x0041eaa0,0x00170f60,const,FUN_0041eaa0,boot,C2,ambiguous
0x0041ecc0,0x001701c0,const,FUN_0041ecc0,render,C2,ambiguous
0x0041eeb0,0x0016ffd0,const,FUN_0041eeb0,gameplay,C2,flag
0x0041f330,0x00170290,const,FUN_0041f330,gameplay,C2,ambiguous
0x0041f3d0,0x0016f950,prop-weak,FUN_0041f3d0,gameplay,C2,ambiguous
0x0041f710,0x001711e0,prop-weak,FUN_0041f710,gameplay,C2,ambiguous
0x0041f770,0x001708c0,prop-weak,FUN_0041f770,gameplay,C2,ambiguous
0x0041f880,0x0016f800,prop-weak,FUN_0041f880,gameplay,C2,ambiguous
0x0041fcc0,0x0016f460,const,TireMarkRender,render,C2,flag
0x00420340,0x001710a0,prop-weak,FUN_00420340,gameplay,C2,ok-asc
0x00420420,0x001716e0,const,FUN_00420420,track,C2,flag
0x00420870,0x00171240,const,FUN_00420870,gameplay,C2,ambiguous
0x00420d00,0x0016e870,byte-full,FUN_00420d00,boot,C2,ambiguous
0x00420d40,0x0016e820,mnem,SlotArrayClear,util,C3,flag
0x004212b0,0x0016efa0,const,FUN_004212b0,render,C2,ambiguous
0x004218b0,0x000b7070,prop-weak,FUN_004218b0,render,C2,ambiguous
0x004218d0,0x0016dc30,prop-weak,FUN_004218d0,render,C2,ambiguous
0x00421a90,0x0016dd00,byte-prefix,FUN_00421a90,render,C2,ambiguous
0x00421ba0,0x0016e3d0,mnem,FUN_00421ba0,render,C2,ambiguous
0x00422570,0x0016ce60,const,FUN_00422570,render,C2,ambiguous
0x00423040,0x00204283,const,FrontendDirInput,frontend,C3,ambiguous
0x00423480,0x001c0390,string,FUN_00423480,ai,C2,ambiguous
0x00423540,0x001c1190,mnem,FUN_00423540,ai,C2,ok-asc
0x004235b0,0x001c2340,string,FUN_004235b0,render,C3,ambiguous
0x00423630,0x001c0350,mnem,AiDataBufInit,render,C3,ambiguous
0x00423c40,0x001c01a0,prop-weak,PlayerScoreTeamAccBase,frontend,C3,ambiguous
0x00423d50,0x001c0010,prop-weak,PlayerScoreTeamAccBaseB,frontend,C3,ambiguous
0x00423ee0,0x001bfd70,prop-weak,PlayerBlock2Field00Get,frontend,C3,ambiguous
0x00423ff0,0x001bfc60,prop-weak,PlayerBlock2Field50Get,frontend,C3,ambiguous
0x004248b0,0x001bf9f0,byte-prefix,PerCarSnapshotInit,vehicle,C3,ambiguous
0x00424920,0x001bf790,byte-full,EndOfRoundAccumulator,frontend,C3,flag
0x00424b80,0x001c06c0,const,FUN_00424b80,frontend,C2,ambiguous
0x00425bc0,0x001bf3e0,mnem,FUN_00425bc0,boot,C2,ambiguous
0x00425ea0,0x001bf280,byte-full,FUN_00425ea0,frontend,C2,ambiguous
0x00425ef0,0x001bf1b0,mnem,ActiveSlotCount,frontend,C3,ambiguous
0x004260e0,0x001bde40,string,FUN_004260e0,render,C2,ambiguous
0x00426340,0x001be600,string,FUN_00426340,track,C2,ok-asc
0x004264d0,0x001be780,string,FUN_004264d0,track,C2,ambiguous
0x00426810,0x001bdb10,const,sub_00426810,render,C2,ambiguous
0x00426bb0,0x001bdaf0,prop-weak,CameraPath::GetCount,camera,C2,ambiguous
0x00426c00,0x001bdab0,prop-weak,FUN_00426c00,ai,C3,ambiguous
0x00426d90,0x001bd970,byte-full,FUN_00426d90,frontend,C2,flag
0x00426e10,0x001bed00,string,FUN_00426e10,render,C2,ambiguous
0x004274e0,0x001bc5c0,byte-prefix,FUN_004274e0,frontend,C2,ambiguous
0x00427620,0x001bc500,byte-full,FontText_HudShutdown,hud,C2,ambiguous
0x00427680,0x001bbd80,prop-weak,FontText_ComputeScreenXY,hud,C2,ambiguous
0x004277a0,0x001bbb60,mnem,FUN_004277a0,frontend,C2,flag
0x00427ad0,0x001bcc80,prop-weak,MenuMenusBB,frontend,C3,ok-asc
0x00427ca0,0x001bd5f0,string,FontText_HudInit,hud,C2,ambiguous
0x00427e00,0x001bc420,prop-weak,FUN_00427e00,frontend,C2,ambiguous
0x00427f00,0x001bc150,prop-weak,FUN_00427f00,hud,C2,ambiguous
0x00428140,0x001bbeb0,prop-weak,FUN_00428140,frontend,C2,ambiguous
0x004282a0,0x001bbd10,prop-weak,MenuMenusBA,frontend,C3,ambiguous
0x004283a0,0x001ba630,mnem,FUN_004283a0,boot,C2,ambiguous
0x004298c0,0x001b90f0,prop-weak,FUN_004298c0,frontend,C2,ambiguous
0x00429b70,0x001b8f30,prop-weak,FUN_00429b70,frontend,C2,ambiguous
0x00429bd0,0x001b94f0,const,FUN_00429bd0,util,C2,ambiguous
0x0042a470,0x001b8af0,const,FUN_0042a470,render,C2,ambiguous
0x0042a640,0x001b8e50,const,FUN_0042a640,frontend,C2,flag
0x0042a6b0,0x001b8dd0,prop-weak,FUN_0042a6b0,vehicle,C2,ambiguous
0x0042a740,0x001b8d30,const,FUN_0042a740,render,C2,ambiguous
0x0042a8d0,0x001b8a00,caller,FUN_0042a8d0,render,C2,ambiguous
0x0042a9c0,0x0019d660,mnem,ModeCodeLookup,frontend,C3,ambiguous
0x0042aae0,0x0019cfe0,prop-weak,MenuIm2DQuad,frontend,C4,ambiguous
0x0042ac00,0x0019cf90,mnem,MenuGroupCount,frontend,C3,ambiguous
0x0042ac50,0x0019cf50,byte-full,FUN_0042ac50,frontend,C2,ambiguous
0x0042ac90,0x0019ced0,mnem,FUN_0042ac90,frontend,C3,ambiguous
0x0042add0,0x0019cdc0,mnem,FUN_0042add0,frontend,C2,ambiguous
0x0042bf30,0x0019cb10,prop-weak,FUN_0042bf30,vehicle,C2,ambiguous
0x0042c1a0,0x0019ca90,byte-full,FUN_0042c1a0,util,C2,flag
0x0042c3c0,0x001a42c0,const,FUN_0042c3c0,util,C2,flag
0x0042c510,0x001a3f80,const,FUN_0042c510,vehicle,C2,ambiguous
0x0042c960,0x001b3610,const,CameraTransitionStateMachine,render,C2,ambiguous
0x0042d290,0x0019c920,const,MenusLapTimeFmt,frontend,C3,ambiguous
0x0042d300,0x0019c8b0,prop-weak,TimeDiffDecompose,frontend,C3,ambiguous
0x0042d5a0,0x001a0840,prop-weak,MenusBodyA,frontend,C3,ambiguous
0x0042e3a0,0x001ab120,byte-prefix,MenuChromeShellA,frontend,C4,ambiguous
0x0042e5b0,0x001aadf0,prop-weak,FUN_0042e5b0,frontend,C3,ambiguous
0x0042e8b0,0x001a0450,prop-weak,FUN_0042e8b0,frontend,C2,ambiguous
0x0042ef40,0x0019c240,const,VehicleUnlockFlagGet,frontend,C3,ambiguous
0x0042f020,0x0019c1b0,byte-full,FUN_0042f020,frontend,C2,flag
0x0042f0c0,0x0019fec0,const,MenuSpriteDispatchA,frontend,C3,flag
0x0042f530,0x0019fca0,const,sub_0042f530,render,C2,ambiguous
0x0042f6a0,0x0019c130,prop-weak,GetRaceSubMode,util,C3,ambiguous
0x0042f6b0,0x0019c080,mnem,MenuModeSync,frontend,C3,ambiguous
0x0042f8d0,0x0019fb30,byte-prefix,MenuMenusBC,frontend,C2,ambiguous
0x0042fa00,0x0019be50,mnem,PlayerSlotEdgeAdjust,frontend,C3,ambiguous
0x0042fab0,0x0019fa20,string,FUN_0042fab0,frontend,C2,flag
0x0042fb70,0x0019f750,prop-weak,MenuSpriteDispatchB,frontend,C3,ambiguous
0x0042fe90,0x0019f470,prop-weak,MenuSpriteDispatchC,frontend,C3,ambiguous
0x00430120,0x0019f340,prop-weak,FUN_00430120,frontend,C2,ambiguous
