pc_va,xbox_va,tier,pc_name,subsystem,confidence,scaffold
0x0047f380,0x00139dd0,byte-prefix,FUN_0047f380,gameplay,C2,ok-asc
0x0047f840,0x0013b7d0,const,FUN_0047f840,physics,C2,ambiguous
0x0047fad0,0x00139bf0,prop-weak,FUN_0047fad0,gameplay,C2,ambiguous
0x00480720,0x001396a0,prop-weak,VehicleRespawnPlace,vehicle,C2,ambiguous
0x004809e0,0x001394e0,prop-weak,VehicleRespawnTeleport,vehicle,C2,ambiguous
0x00480b70,0x001392c0,prop-weak,FUN_00480b70,vehicle,C2,ambiguous
0x00480d60,0x001387a0,const,FUN_00480d60,vehicle,C2,flag
0x004818d0,0x0013c810,prop-weak,FUN_004818d0,vehicle,C2,ok-asc
0x00481a30,0x0013c9c0,const,FUN_00481a30,vehicle,C2,ambiguous
0x00481e00,0x00135d60,const,FUN_00481e00,vehicle,C2,ambiguous
0x00484170,0x00131cf0,prop-weak,FUN_00484170,boot,C2,ambiguous
0x004841d0,0x00132020,const,FUN_004841d0,boot,C2,ambiguous
0x00484280,0x00131720,byte-full,FUN_00484280,debug-overlay,C2,ambiguous
0x004847d0,0x001311e0,prop-weak,FUN_004847d0,world-objects,C2,ambiguous
0x00484a50,0x00130db0,mnem,FUN_00484a50,world-objects,C2,ambiguous
0x00484ac0,0x00130fc0,const,FUN_00484ac0,world-objects,C2,ambiguous
0x00484cf0,0x001314c0,prop-weak,FUN_00484cf0,world-objects,C2,ambiguous
0x004850e0,0x00130350,prop-weak,FUN_004850e0,smplfzx,C2,ambiguous
0x004852e0,0x0012fa00,string,FUN_004852e0,smplfzx,C2,ambiguous
0x00485460,0x0012f630,prop-weak,FUN_00485460,smplfzx,C2,ambiguous
0x00485b30,0x0012bf80,prop-weak,FUN_00485b30,smplfzx,C2,ambiguous
0x00485d90,0x001282f0,const,FUN_00485d90,particle,C2,ambiguous
0x00487020,0x001283d0,prop-weak,FUN_00487020,render,C2,ambiguous
0x00487280,0x00125ec0,prop-weak,FUN_00487280,render,C2,ambiguous
0x00487d00,0x00125e60,prop-weak,FUN_00487d00,particle,C2,ambiguous
0x00487e70,0x00191880,const,FUN_00487e70,sky,C2,ambiguous
0x00488320,0x00124fa0,const,FUN_00488320,sky,C2,ambiguous
0x00489290,0x00122f80,mnem,FUN_00489290,particle,C2,ambiguous
0x0048a460,0x0011f8e0,prop-weak,FUN_0048a460,particle,C2,ambiguous
0x0048ae00,0x0011dba0,string,FUN_0048ae00,particle,C2,ambiguous
0x0048b230,0x0011def0,const,FUN_0048b230,particle,C2,ambiguous
0x0048e820,0x0011a4a0,prop-weak,FUN_0048e820,particle,C2,ambiguous
0x0048eac0,0x00117aa0,string,FUN_0048eac0,particle,C2,ambiguous
0x0048ff20,0x001169b0,string,FUN_0048ff20,particle,C2,ambiguous
0x0048ffd0,0x00114c80,mnem,FUN_0048ffd0,particle,C2,ambiguous
0x00490020,0x001164e0,string,FUN_00490020,render,C2,ok-asc
0x00490500,0x00116b60,const,FUN_00490500,render,C2,ambiguous
0x004922e0,0x001108e0,prop-weak,FUN_004922e0,vehicle,C2,ambiguous
0x004927c0,0x0010f910,mnem,FUN_004927c0,vehicle,C2,ambiguous
0x00493600,0x0010f500,byte-full,FUN_00493600,render,C2,ambiguous
0x00493640,0x0010f540,byte-full,FUN_00493640,render,C2,ambiguous
0x00495120,0x0010c7f0,mnem,TimerQpfStore,util,C3,ambiguous
0x00496d60,0x0010b7b0,prop-mnem,FUN_00496d60,util,C2,ambiguous
0x00496db0,0x0010b760,prop-mnem,FUN_00496db0,util,C2,flag
0x00496e40,0x0010b890,mnem,FUN_00496e40,boot,C2,ambiguous
0x00499d90,0x00106889,const,FUN_00499d90,render,C2,ambiguous
0x0049ab10,0x00017aa0,mnem,FUN_0049ab10,render,C2,ambiguous
0x004a2b60,0x000f857a,byte-prefix,FUN_004a2b60,frontend,C2,ambiguous
0x004a2bb8,0x000faaf3,prop-weak,report_failure,boot,C2,ok-asc
0x004a2be9,0x000fab23,prop-mnem,__security_check_cookie,boot,C2,flag
0x004a2bf7,0x000f912a,byte-full,FUN_004a2bf7,boot,C2,ambiguous
0x004a2c2f,0x000f9162,interval,FUN_004a2c2f,boot,C2,ok-asc
0x004a2c48,0x000f9178,byte-full,FUN_004a2c48,frontend,C2,ambiguous
0x004a2cbd,0x000f886f,byte-full,FID_conflict:_wprintf,render,C2,ambiguous
0x004a2d18,0x000f88ca,prop-mnem,FUN_004a2d18,render,C2,ok-asc
0x004a2dcd,0x000f9310,mnem,FUN_004a2dcd,third-party-library[msvc-crt-main],C2,ok-asc
0x004a2f92,0x000f94d5,byte-full,FUN_004a2f92,third-party-library[msvc-crt-main],C2,ambiguous
0x004a2fd0,0x000f85f0,mnem,FUN_004a2fd0,third-party-library[msvc-crt-main],C2,ambiguous
0x004a31e1,0x000f8781,prop-mnem,FUN_004a31e1,boot,C2,ok-asc
0x004a31ea,0x000f878a,prop-mnem,FUN_004a31ea,boot,C2,ok-asc
0x004a3370,0x000fa0f4,prop-mnem,FUN_004a3370,third-party-library[msvc-crt-main],C2,ok-asc
0x004a338d,0x000fa111,mnem,FUN_004a338d,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3440,0x000fa0b0,prop-weak,CrtStackProbe,boot,C3,ambiguous
0x004a3480,0x000f88e0,byte-full,FUN_004a3480,third-party-library[msvc-crt-main],C2,ambiguous
0x004a34b0,0x000f8910,mnem,_strncpy,boot,C2,ambiguous
0x004a3678,0x001e7d47,mnem,FUN_004a3678,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3700,0x001e7c74,prop-mnem,CRT::math_float_371d,util,C2,ambiguous
0x004a371d,0x001e7c91,mnem,FUN_004a371d,third-party-library[msvc-crt-main],C2,ok-asc
0x004a37b0,0x001e7dcc,prop-mnem,CRT::math_float_37cd,util,C2,ok-asc
0x004a37cd,0x001e7de9,mnem,FUN_004a37cd,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3860,0x000f8ec0,byte-full,FUN_004a3860,third-party-library[msvc-crt-main],C2,ambiguous
0x004a38e6,0x000f8f46,byte-full,FUN_004a38e6,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3907,0x000f8f67,byte-full,FUN_004a3907,third-party-library[msvc-crt-main],C2,ok-asc
0x004a391c,0x000f8f7c,prop-weak,FUN_004a391c,third-party-library[msvc-crt-main],C2,ok-asc
0x004a39c0,0x000faa28,prop-mnem,FUN_004a39c0,third-party-library[msvc-crt-main],C2,ok-asc
0x004a39dd,0x000faa45,mnem,FUN_004a39dd,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3a90,0x000f9020,byte-full,FUN_004a3a90,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3bdf,0x000f9d65,byte-full,FUN_004a3bdf,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3c2a,0x000fb7b0,mnem,FUN_004a3c2a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3c5a,0x000fb7e0,prop-mnem,FUN_004a3c5a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3c61,0x000fb7e7,mnem,FUN_004a3c61,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3cb3,0x000fb839,byte-full,FUN_004a3cb3,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3d0d,0x000fb971,interval,FUN_004a3d0d,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3d7e,0x000fba23,mnem,FUN_004a3d7e,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3df8,0x000fba9d,mnem,FUN_004a3df8,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3e20,0x000fbac5,mnem,FUN_004a3e20,third-party-library[msvc-crt-main],C2,ok-asc
0x004a3e41,0x000fbae6,mnem,FUN_004a3e41,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3e8d,0x000fbb32,prop-weak,FUN_004a3e8d,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3ede,0x000fb8aa,prop-weak,FUN_004a3ede,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3f90,0x000f9b84,mnem,FUN_004a3f90,third-party-library[msvc-crt-main],C2,ambiguous
0x004a3fd2,0x000f9bc6,mnem,FUN_004a3fd2,third-party-library[msvc-crt-main],C2,ok-asc
0x004a403a,0x000f9c2e,mnem,FUN_004a403a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a405d,0x000f9c51,const,FUN_004a405d,third-party-library[msvc-crt-main],C2,ok-asc
0x004a4066,0x000f9c5a,mnem,FUN_004a4066,third-party-library[msvc-crt-main],C2,ok-asc
0x004a407e,0x000fbc46,mnem,__onexit_lk,boot,C2,ok-asc
0x004a4126,0x000fbcee,byte-full,__onexit,boot,C2,ok-asc
0x004a4158,0x000fbd20,prop-weak,FUN_004a4158,boot,C2,ok-asc
0x004a415e,0x000fbd26,byte-full,_atexit,boot,C2,ambiguous
0x004a4170,0x000f9ed0,byte-prefix,__alldiv,util,C2,ambiguous
0x004a4220,0x000f96c0,mnem,__allmul,util,C2,flag
0x004a431c,0x000fab31,mnem,FUN_004a431c,third-party-library[msvc-crt-main],C2,ok-asc
0x004a4368,0x000fab7d,mnem,FUN_004a4368,third-party-library[msvc-crt-main],C2,ok-asc
0x004a43b1,0x000fabc6,prop-mnem,FUN_004a43b1,third-party-library[msvc-crt-main],C2,ambiguous
0x004a45cf,0x000f9524,byte-full,__nh_malloc,boot,C2,ambiguous
0x004a45fb,0x000f9550,byte-full,_malloc,boot,C2,ok-asc
0x004a4a1b,0x000fb2c3,prop-weak,FUN_004a4a1b,third-party-library[msvc-crt-main],C2,ok-asc
0x004a4b22,0x000fb3da,prop-mnem,FUN_004a4b22,third-party-library[msvc-crt-main],C2,ok-asc
0x004a4b64,0x000fb41c,prop-mnem,FUN_004a4b64,third-party-library[msvc-crt-main],C2,ok-asc
0x004a4b6e,0x000fef10,caller,__amsg_exit,boot,C2,ok-asc
0x004a4da0,0x00101840,byte-prefix,__aulldvrm,render,C2,ambiguous
0x004a4e40,0x000f9f80,byte-prefix,FUN_004a4e40,third-party-library[msvc-crt-main],C2,ambiguous
0x004a4ea8,0x000fbf1d,mnem,FUN_004a4ea8,third-party-library[msvc-crt-main],C2,ok-asc
0x004a4fc1,0x000fc036,mnem,write_char,render,C2,ok-asc
0x004a4ff4,0x000fc069,mnem,write_multi_char,render,C2,ok-asc
0x004a5018,0x000fc08d,mnem,write_string,render,C2,ok-asc
0x004a504f,0x000fc0c4,const,FUN_004a504f,render,C2,ok-asc
0x004a583a,0x000ffd5b,string,FUN_004a583a,boot,C2,ambiguous
0x004a5984,0x000f9a40,byte-full,CrtSehProlog,boot,C2,ambiguous
0x004a59bf,0x000f9a7b,mnem,CrtSehEpilog,boot,C2,ok-asc
0x004a5a71,0x000fd64b,mnem,FUN_004a5a71,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5aaf,0x000fd689,caller,FUN_004a5aaf,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5acc,0x000fd6ac,const,FUN_004a5acc,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5b7a,0x000fd755,prop-weak,FUN_004a5b7a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5bee,0x000fd7b3,prop-weak,FUN_004a5bee,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5c8a,0x000fd85a,prop-weak,FUN_004a5c8a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5cf2,0x000fd8ac,prop-weak,FUN_004a5cf2,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5d92,0x000fd939,byte-full,FUN_004a5d92,third-party-library[msvc-crt-main],C2,ambiguous
0x004a5f07,0x000face3,byte-full,___endstdio,boot,C2,ambiguous
0x004a5f1b,0x000facf7,prop-mnem,FUN_004a5f1b,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5f4a,0x000fad26,prop-mnem,FUN_004a5f4a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5f6d,0x000fad49,prop-mnem,FUN_004a5f6d,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5f9c,0x000fad78,prop-mnem,FUN_004a5f9c,third-party-library[msvc-crt-main],C2,ok-asc
0x004a5fbf,0x000fd314,byte-prefix,FUN_004a5fbf,third-party-library[msvc-crt-main],C2,ok-asc
0x004a6047,0x000fd39c,mnem,FUN_004a6047,third-party-library[msvc-crt-main],C2,ok-asc
0x004a6e60,0x000fdbd8,mnem,FUN_004a6e60,third-party-library[msvc-crt-main],C2,ok-asc
0x004a6ec7,0x000fdc3f,mnem,FUN_004a6ec7,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7030,0x000fdda4,byte-full,FUN_004a7030,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7047,0x000fddbb,byte-full,FUN_004a7047,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7090,0x000fddf8,byte-full,FUN_004a7090,third-party-library[msvc-crt-main],C2,ok-asc
0x004a70a5,0x000fde0d,prop-mnem,FUN_004a70a5,third-party-library[msvc-crt-main],C2,ok-asc
0x004a70bc,0x000fde24,prop-mnem,FUN_004a70bc,third-party-library[msvc-crt-main],C2,ok-asc
0x004a70d5,0x000fde3d,mnem,FUN_004a70d5,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7118,0x000fde80,prop-mnem,FUN_004a7118,third-party-library[msvc-crt-main],C2,ok-asc
0x004a712e,0x000fde96,prop-mnem,FUN_004a712e,third-party-library[msvc-crt-main],C2,ok-asc
0x004a713b,0x000fdea3,mnem,FUN_004a713b,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7179,0x000fdee1,mnem,FUN_004a7179,third-party-library[msvc-crt-main],C2,ok-asc
0x004a721c,0x000fdf84,prop-weak,FUN_004a721c,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7286,0x000fdfe9,const,FUN_004a7286,third-party-library[msvc-crt-main],C2,ambiguous
0x004a774d,0x000fd1c2,mnem,__mtinitlocks,boot,C2,ambiguous
0x004a7800,0x000fd246,prop-weak,FUN_004a7800,boot,C2,ambiguous
0x004a787f,0x000fd2e6,prop-weak,__lock,boot,C2,ambiguous
0x004a7c2c,0x000fb0ea,const,FUN_004a7c2c,third-party-library[msvc-crt-main],C2,ambiguous
0x004a7e12,0x000fcfe3,mnem,FUN_004a7e12,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7e3c,0x000fd00d,const,FUN_004a7e3c,third-party-library[msvc-crt-main],C2,ok-asc
0x004a7e51,0x000fd022,mnem,FUN_004a7e51,third-party-library[msvc-crt-main],C2,ambiguous
0x004a7eac,0x000fd07d,prop-weak,FUN_004a7eac,third-party-library[msvc-crt-main],C2,ambiguous
0x004a7f66,0x000fc84b,mnem,FUN_004a7f66,third-party-library[msvc-crt-main],C2,ambiguous
0x004a820b,0x000fcaef,byte-prefix,FUN_004a820b,third-party-library[msvc-crt-main],C2,ok-asc
0x004a842d,0x000fccdc,mnem,FUN_004a842d,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8455,0x000fcd04,byte-full,FUN_004a8455,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8482,0x000fcd31,byte-full,FUN_004a8482,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8520,0x000fcdcf,byte-prefix,FUN_004a8520,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8573,0x000fce22,byte-prefix,FUN_004a8573,third-party-library[msvc-crt-main],C2,ok-asc
0x004a85d2,0x000fce81,prop-weak,FUN_004a85d2,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8690,0x000fcf21,prop-weak,FUN_004a8690,third-party-library[msvc-crt-main],C2,ok-asc
0x004a875f,0x000fd131,caller-mnem,FUN_004a875f,third-party-library[msvc-crt-main],C2,ok-asc
0x004a876c,0x000fd13c,interval-mnem,FUN_004a876c,third-party-library[msvc-crt-main],C2,ok-asc
0x004a877a,0x000fd148,byte-full,FUN_004a877a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a879e,0x000fd16c,mnem,FUN_004a879e,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8828,0x000ffaf1,prop-weak,FUN_004a8828,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8ae0,0x00100e92,mnem,FUN_004a8ae0,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8b93,0x00100f45,prop-mnem,FUN_004a8b93,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8bae,0x00100f60,byte-full,FUN_004a8bae,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8bf3,0x00100fa5,prop-weak,FUN_004a8bf3,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8c10,0x00100fc4,mnem,FUN_004a8c10,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8d53,0x00101107,mnem,FUN_004a8d53,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8db7,0x0010116b,mnem,FUN_004a8db7,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8f33,0x001012e7,mnem,FUN_004a8f33,third-party-library[msvc-crt-main],C2,ok-asc
0x004a8f9a,0x0010134e,interval,FUN_004a8f9a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a905a,0x0010140c,prop-weak,FUN_004a905a,third-party-library[msvc-crt-main],C2,ok-asc
0x004a923c,0x001015eb,mnem,FUN_004a923c,third-party-library[msvc-crt-main],C2,ok-asc
0x004a92de,0x0010168d,prop-weak,FUN_004a92de,third-party-library[msvc-crt-main],C2,ok-asc
0x004a9313,0x001016c9,byte-full,FUN_004a9313,third-party-library[msvc-crt-main],C2,ok-asc
0x004a9340,0x00101700,mnem,FUN_004a9340,third-party-library[msvc-crt-main],C2,ambiguous
0x004a949b,0x000ffee4,prop-weak,FUN_004a949b,third-party-library[msvc-crt-main],C2,ambiguous
0x004a951e,0x000fff65,mnem,FUN_004a951e,third-party-library[msvc-crt-main],C2,ambiguous
0x004a9595,0x000fffdc,prop-mnem,FUN_004a9595,third-party-library[msvc-crt-main],C2,ok-asc
0x004a95b9,0x00100000,byte-full,FUN_004a95b9,third-party-library[msvc-crt-main],C2,ok-asc
0x004a95e4,0x0010002b,byte-prefix,FUN_004a95e4,third-party-library[msvc-crt-main],C2,ok-asc
0x004a9641,0x00100088,byte-full,FUN_004a9641,third-party-library[msvc-crt-main],C2,ok-asc
0x004a966f,0x001000b6,mnem,FUN_004a966f,third-party-library[msvc-crt-main],C2,ok-asc
0x004a970f,0x00100156,byte-full,FUN_004a970f,third-party-library[msvc-crt-main],C2,ok-asc
0x004a973b,0x00100182,prop-mnem,FUN_004a973b,third-party-library[msvc-crt-main],C2,ok-asc
0x004a9744,0x0010018b,prop-mnem,__flushall,boot,C2,ok-asc
0x004a9cc9,0x00100932,mnem,FUN_004a9cc9,third-party-library[msvc-crt-main],C2,ambiguous
0x004aa060,0x000f9cf0,byte-prefix,FUN_004aa060,third-party-library[msvc-crt-main],C2,ambiguous
0x004aa23d,0x000fe156,prop-weak,FUN_004aa23d,boot,C2,ok-asc
0x004aa246,0x000fe15f,prop-weak,FUN_004aa246,third-party-library[msvc-crt-main],C2,ok-asc
0x004aa24f,0x000fe168,mnem,FUN_004aa24f,third-party-library[msvc-crt-main],C2,flag
0x004aaf72,0x000fe13b,byte-full,__callnewh,boot,C2,flag
0x004ab32d,0x001001d8,byte-prefix,FUN_004ab32d,third-party-library[msvc-crt-main],C2,ok-asc
0x004ab40e,0x001003a2,interval,FUN_004ab40e,third-party-library[msvc-crt-main],C2,ok-asc
0x004ab5db,0x00100579,prop-mnem,FUN_004ab5db,third-party-library[msvc-crt-main],C2,ok-asc
0x004ab662,0x00100600,prop-mnem,FUN_004ab662,third-party-library[msvc-crt-main],C2,ok-asc
0x004ab686,0x00100624,interval,FUN_004ab686,third-party-library[msvc-crt-main],C2,ok-asc
0x004ab82b,0x001007af,prop-mnem,FUN_004ab82b,third-party-library[msvc-crt-main],C2,ok-asc
0x004ab8b2,0x00100836,prop-mnem,FUN_004ab8b2,third-party-library[msvc-crt-main],C2,ok-asc
0x004ac248,0x001018d5,mnem,FUN_004ac248,third-party-library[msvc-crt-main],C2,ok-asc
0x004ac2bc,0x00101947,prop-mnem,FUN_004ac2bc,third-party-library[msvc-crt-main],C2,ok-asc
0x004ac343,0x001019ce,prop-mnem,FUN_004ac343,third-party-library[msvc-crt-main],C2,ambiguous
0x004ac367,0x00100194,mnem,FUN_004ac367,third-party-library[msvc-crt-main],C2,flag
0x004ac3ab,0x001019f2,mnem,FUN_004ac3ab,third-party-library[msvc-crt-main],C2,ambiguous
0x004ac71d,0x000f9b66,mnem,FUN_004ac71d,third-party-library[msvc-crt-main],C2,flag
0x004ac953,0x00101abb,mnem,FUN_004ac953,third-party-library[msvc-crt-main],C2,ok-asc
0x004ac985,0x00101aed,byte-full,FUN_004ac985,third-party-library[msvc-crt-main],C2,ok-asc
0x004ac9d2,0x00101b3a,byte-full,FUN_004ac9d2,third-party-library[msvc-crt-main],C2,ok-asc
0x004aca44,0x00101bac,byte-full,FUN_004aca44,third-party-library[msvc-crt-main],C2,ok-asc
0x004aca5f,0x00101bc7,mnem,FUN_004aca5f,third-party-library[msvc-crt-main],C2,ok-asc
0x004aca78,0x00101be0,byte-prefix,FUN_004aca78,third-party-library[msvc-crt-main],C2,ok-asc
0x004acaf3,0x00101c5b,mnem,FUN_004acaf3,third-party-library[msvc-crt-main],C2,ok-asc
0x004acc4b,0x00101db3,const,FUN_004acc4b,third-party-library[msvc-crt-main],C2,ok-asc
0x004acc61,0x00101dc9,const,FUN_004acc61,third-party-library[msvc-crt-main],C2,ambiguous
0x004acd00,0x000f9700,prop-mnem,_memmove,boot,C2,flag
0x004ad03d,0x00101e39,prop-weak,FUN_004ad03d,third-party-library[msvc-crt-main],C2,ambiguous
0x004ad0b4,0x00101eb8,mnem,FUN_004ad0b4,third-party-library[msvc-crt-main],C2,ambiguous
0x004ad16e,0x00101f72,prop-weak,FUN_004ad16e,third-party-library[msvc-crt-main],C2,ok-asc
0x004ad1e0,0x00101fd7,interval-mnem,FUN_004ad1e0,render,C2,ok-asc
0x004ad1e9,0x00101fe0,mnem,FUN_004ad1e9,third-party-library[msvc-crt-main],C2,ok-asc
0x004ad27b,0x00102072,mnem,FUN_004ad27b,third-party-library[msvc-crt-main],C2,ok-asc
0x004ad309,0x00102100,byte-full,FUN_004ad309,third-party-library[msvc-crt-main],C2,ok-asc
0x004ad33b,0x00102132,byte-full,__controlfp,boot,C2,ambiguous
0x004ad351,0x0010031e,prop-weak,__fcloseall,boot,C2,ambiguous
0x004ad3e3,0x00100399,prop-mnem,FUN_004ad3e3,boot,C2,ambiguous
0x004ae17b,0x00102148,prop-weak,FUN_004ae17b,third-party-library[msvc-crt-main],C2,ambiguous
0x004ae279,0x000fcfd2,mnem,FUN_004ae279,third-party-library[msvc-crt-main],C2,flag
0x004ae28c,0x00101a47,prop-weak,FUN_004ae28c,third-party-library[msvc-crt-main],C2,ok-asc
0x004aefd0,0x00102811,const,FUN_004aefd0,boot,C2,flag
0x004af2d4,0x00101751,byte-prefix,FUN_004af2d4,util,C2,flag
0x004af3c8,0x00102d1a,prop-mnem,FUN_004af3c8,third-party-library[msvc-crt-main],C2,ok-asc
0x004af3e4,0x00102d35,prop-mnem,FUN_004af3e4,third-party-library[msvc-crt-main],C2,ok-asc
0x004af400,0x00102d50,mnem,FUN_004af400,third-party-library[msvc-crt-main],C2,ambiguous
0x004af52b,0x00102adc,mnem,FUN_004af52b,third-party-library[msvc-crt-main],C2,ambiguous
0x004af56c,0x00102b1d,prop-weak,FUN_004af56c,boot,C2,ok-asc
0x004af5df,0x00102bbd,mnem,FUN_004af5df,third-party-library[msvc-crt-main],C2,ok-asc
0x004af74e,0x00102bdf,mnem,FUN_004af74e,third-party-library[msvc-crt-main],C2,ok-asc
0x004af7ee,0x00102c7d,prop-mnem,FUN_004af7ee,third-party-library[msvc-crt-main],C2,ok-asc
0x004aff2c,0x00102c99,mnem,FUN_004aff2c,third-party-library[msvc-crt-main],C2,ok-asc
0x004b044b,0x00102d67,byte-full,FUN_004b044b,third-party-library[msvc-crt-main],C2,ok-asc
0x004b046c,0x00102d88,byte-full,FUN_004b046c,third-party-library[msvc-crt-main],C2,ok-asc
0x004b04ca,0x00102de6,byte-full,FUN_004b04ca,third-party-library[msvc-crt-main],C2,ok-asc
0x004b04f8,0x00102e14,byte-full,FUN_004b04f8,third-party-library[msvc-crt-main],C2,ok-asc
0x004b0a43,0x00102f0f,string,FUN_004b0a43,third-party-library[msvc-crt-main],C2,ambiguous
0x004b1ae0,0x000faed0,byte-full,FUN_004b1ae0,third-party-library[msvc-crt-main],C2,ambiguous
0x004b26c0,0x000fb770,byte-full,FUN_004b26c0,third-party-library[msvc-crt-main],C2,ambiguous
0x004b2bdd,0x00103186,prop-weak,FUN_004b2bdd,third-party-library[msvc-crt-main],C2,ok-asc
0x004b2e15,0x001033a8,const,FUN_004b2e15,third-party-library[msvc-crt-main],C2,flag
0x004b2eb0,0x000feae0,byte-full,FUN_004b2eb0,third-party-library[msvc-crt-main],C2,ambiguous
0x004b3117,0x000fbd95,prop-weak,FUN_004b3117,third-party-library[msvc-crt-main],C2,ambiguous
0x004b3155,0x000fbdd3,mnem,FUN_004b3155,third-party-library[msvc-crt-main],C2,flag
0x004b3a60,0x000feb30,byte-full,FUN_004b3a60,third-party-library[msvc-crt-main],C2,ambiguous
0x004b3b70,0x0008d210,mnem,FileReadWrapper_i3,save,C4,ambiguous
0x004b3bf0,0x0008d250,byte-prefix,FUN_004b3bf0,vehicle,C2,ok-asc
0x004b3c60,0x0008d2c0,byte-prefix,FUN_004b3c60,render,C2,ok-asc
0x004b3cc0,0x0008d320,byte-prefix,FUN_004b3cc0,render,C2,ok-asc
0x004b3d20,0x0008d380,byte-prefix,FUN_004b3d20,render,C2,ok-asc
0x004b3d80,0x0008d3e0,byte-prefix,FUN_004b3d80,render,C2,ok-asc
0x004b3de0,0x0008d440,byte-prefix,FUN_004b3de0,render,C2,ok-asc
0x004b3e40,0x0008d4f0,byte-full,FUN_004b3e40,vehicle,C2,ok-asc
0x004b3f50,0x0008d560,mnem,FUN_004b3f50,third-party-library[msvc-crt-main],C2,ok-asc
0x004b3f90,0x0008d5b0,mnem,FUN_004b3f90,third-party-library[msvc-crt-main],C2,ok-asc
0x004b3fc0,0x0008d5e0,prop-mnem,FUN_004b3fc0,third-party-library[msvc-crt-main],C2,ok-asc
0x004b4000,0x0008d620,prop-mnem,FUN_004b4000,particle,C2,ok-asc
0x004b4010,0x0008d630,interval-mnem,FUN_004b4010,render,C2,ok-asc
0x004b4050,0x0008d670,byte-full,FUN_004b4050,render,C2,ok-asc
0x004b4080,0x0008d690,mnem,FUN_004b4080,render,C2,ok-asc
0x004b40c0,0x0008d6d0,byte-full,FUN_004b40c0,render,C3,ok-asc
0x004b40f0,0x0008d700,mnem,FUN_004b40f0,render,C2,ok-asc
0x004b4120,0x0008d730,interval-mnem,FUN_004b4120,render,C2,ok-asc
0x004b4130,0x0008d740,byte-full,FUN_004b4130,render,C2,ok-asc
0x004b4140,0x0008d750,prop-mnem,FUN_004b4140,render,C2,ok-asc
0x004b4150,0x0008d760,byte-full,FUN_004b4150,render,C2,ok-asc
0x004b4430,0x0008d9e0,prop-weak,Camera::BuildFrame,util,C2,ok-asc
0x004b44f0,0x0008daa0,byte-full,FUN_004b44f0,util,C2,ok-asc
0x004b4510,0x0008dac0,mnem,FUN_004b4510,util,C2,ok-asc
0x004b4550,0x0008db00,interval,FUN_004b4550,util,C2,ok-asc
0x004b4650,0x0008dc00,byte-full,FUN_004b4650,render,C2,ok-asc
0x004b47c0,0x0008dd70,byte-full,FUN_004b47c0,render,C2,ok-asc
