pc_va,xbox_va,size,tier,xbox_in_text,pc_name,subsystem,confidence
0x004a8455,0x000fcd04,45,full,1,FUN_004a8455,third-party-library[msvc-crt-main],C2
0x004a8482,0x000fcd31,158,full,1,FUN_004a8482,third-party-library[msvc-crt-main],C2
0x004a8520,0x000fcdcf,83,prefix,1,FUN_004a8520,third-party-library[msvc-crt-main],C2
0x004a8573,0x000fce22,95,prefix,1,FUN_004a8573,third-party-library[msvc-crt-main],C2
0x004a877a,0x000fd148,36,full,1,FUN_004a877a,third-party-library[msvc-crt-main],C2
0x004a8bae,0x00100f60,52,full,1,FUN_004a8bae,third-party-library[msvc-crt-main],C2
0x004a9313,0x001016c9,45,full,1,FUN_004a9313,third-party-library[msvc-crt-main],C2
0x004a95b9,0x00100000,43,full,1,FUN_004a95b9,third-party-library[msvc-crt-main],C2
0x004a95e4,0x0010002b,93,prefix,1,FUN_004a95e4,third-party-library[msvc-crt-main],C2
0x004a9641,0x00100088,46,full,1,FUN_004a9641,third-party-library[msvc-crt-main],C2
0x004a970f,0x00100156,17,full,1,FUN_004a970f,third-party-library[msvc-crt-main],C2
0x004aa060,0x000f9cf0,117,prefix,1,FUN_004aa060,third-party-library[msvc-crt-main],C2
0x004aaf72,0x000fe13b,27,full,1,__callnewh,boot,C2
0x004ab32d,0x001001d8,225,prefix,1,FUN_004ab32d,third-party-library[msvc-crt-main],C2
0x004ac985,0x00101aed,77,full,1,FUN_004ac985,third-party-library[msvc-crt-main],C2
0x004ac9d2,0x00101b3a,114,full,1,FUN_004ac9d2,third-party-library[msvc-crt-main],C2
0x004aca44,0x00101bac,27,full,1,FUN_004aca44,third-party-library[msvc-crt-main],C2
0x004aca78,0x00101be0,123,prefix,1,FUN_004aca78,third-party-library[msvc-crt-main],C2
0x004ad309,0x00102100,50,full,1,FUN_004ad309,third-party-library[msvc-crt-main],C2
0x004ad33b,0x00102132,22,full,1,__controlfp,boot,C2
0x004af2d4,0x00101751,70,prefix,1,FUN_004af2d4,util,C2
0x004b044b,0x00102d67,33,full,1,FUN_004b044b,third-party-library[msvc-crt-main],C2
0x004b046c,0x00102d88,94,full,1,FUN_004b046c,third-party-library[msvc-crt-main],C2
0x004b04ca,0x00102de6,46,full,1,FUN_004b04ca,third-party-library[msvc-crt-main],C2
0x004b04f8,0x00102e14,45,full,1,FUN_004b04f8,third-party-library[msvc-crt-main],C2
0x004b1ae0,0x000faed0,70,full,1,FUN_004b1ae0,third-party-library[msvc-crt-main],C2
0x004b26c0,0x000fb770,64,full,1,FUN_004b26c0,third-party-library[msvc-crt-main],C2
0x004b2eb0,0x000feae0,78,full,1,FUN_004b2eb0,third-party-library[msvc-crt-main],C2
0x004b3a60,0x000feb30,97,full,1,FUN_004b3a60,third-party-library[msvc-crt-main],C2
