rva	name	verdict	n	ndiff	proof	detail	boot_state	group	log	at
0041f060	L2_FUN_0041f060	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T09:52:29
0041f290	L2_FUN_0041f290	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T09:51:36
00421960	L2_FUN_00421960	CRASH	0	0		 |   p0.grounded=4 airflag=1  vel=[-83.7, 0.2, 331.1]    /     + 13s  ph=3  spawnFired=12  p0.grounded=4 airflag=1  vel=[2322.9, -23.2, 2510.9]    /   game exited.	CRASH	1		2026-09-10T09:50:55
00421980	L2_FUN_00421980	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T09:50:26
004219c0	L2_FUN_004219c0	CRASH	0	0		" | cal-packages\Python312\site-packages\frida\core.py"", line 499, in _rpc_request /     raise result.error / frida.InvalidOperationError: script has been destroyed"	CRASH	1		2026-09-10T09:51:46
00495fe0	L2_FUN_00495fe0	CRASH	0	0		 |  track=0 mode=10 cars=4 === /   attaching ASAP... /   [agent] ready /     phase=0  (waiting for menu (phase 1)) /   game exited while waiting for menu (phase 1)	CRASH	1		2026-09-10T09:51:49
005b8080	L2_FUN_005b8080	NO_SAMPLES	0	0			RACE_OK	1		2026-09-10T09:43:26
