rva,symbol,conf,subsystem,file,klass,tests,n_miss,n_extra,ours_b,orig_b,ratio,miss,extra
00476d00,MultiArrayScatter476d00,C3,render,PromoLoop_sessionB.cpp,WINDOW,WINDOW,0,8,348,238,1.46,,"00692524,00692538,0069253c,00692540,00692544,00692548,0069254c,00692550"
00477b60,Alloc477b60,C3,render,PromoLoop_sessionB.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,4,95,117,0.81,00693198,"00693448,0069344c,00693450,00693454"
0047ce40,Search47ce40,C3,physics,PromoLoop_sessionB.cpp,CANDIDATE,,0,1,38,37,1.03,,006c6eb0
0047eb30,VehicleCouplingBridge,C3,vehicle,VehicleCouplingBridge.cpp,CANDIDATE,,2,0,158,1708,0.09,"008816d8,00881f68",
00484c90,Zero484c90,C3,util,PromoLoop_sessionB.cpp,FOLDED-MEMBER,FOLDED-MEMBER|INDUCTION|WINDOW,1,1,135,83,1.63,006dccbc,006dccb8
0048f590,ParticlePoolAlloc48f590,C3,particle,PromoLoop_sessionB.cpp,CANDIDATE,,1,0,268,235,1.14,0076a0d4,
00491070,Rain491070,C3,render,PromoLoop_sessionB.cpp,CANDIDATE,,2,0,93,78,1.19,"00616031,00616032",
004922e0,CarEventTrigger,C3,vehicle,ScenarioWriters_sa2s2.cpp,WINDOW,WINDOW,0,4,97,82,1.18,,"007f105c,007f1064,007f1068,007f106c"
00492340,CarSlotInit,C3,frontend,GameModeInit.cpp,WINDOW,WINDOW,0,4,55,47,1.17,,"007f105c,007f1064,007f1068,007f106c"
004924f0,DataZeroFill,C3,boot,SubsystemInit.cpp,INLINED,INLINED,30,0,7,414,0.02,"007f0a40,007f0a44,007f0a48,007f0a4c,007f0a50,007f0a54,007f0a58,007f0a5c",
00494ef0,ThunkVideoStateGet,C4,boot,Teardown.cpp,CANDIDATE,,0,1,6,5,1.20,,00771a04
