rva,symbol,name,conf,subsystem,file,verdict,imm,detail
00423b80,PlayerScoreAccC,PlayerScoreAccC,C3,frontend,BatchAA_s2.cpp,PASS,same,data=1 ours=28B orig=30B
00423ba0,PlayerScoreAccD,PlayerScoreAccD,C3,frontend,SlotZeroers_s2.cpp,PASS,same,data=1 ours=28B orig=30B
00423bc0,PlayerScoreTeamAccC,PlayerScoreTeamAccC,C3,frontend,SlotZeroers_s2.cpp,PASS,same,data=8 ours=131B orig=127B
00423c40,PlayerScoreTeamAccBase,PlayerScoreTeamAccBase,C3,frontend,SlotZeroers_s2.cpp,PASS,same,data=8 ours=131B orig=127B
00423cc0,PlayerScoreTeamAccGatedB,PlayerScoreTeamAccGatedB,C4,frontend,MenuMiscLeaves_t2.cpp,PASS,same,data=8 ours=146B orig=140B
00423d50,PlayerScoreTeamAccBaseB,PlayerScoreTeamAccBaseB,C4,frontend,MenuMiscLeaves_t2.cpp,PASS,same,data=8 ours=131B orig=127B
00423dd0,PlayerScoreTeamAccGatedC,PlayerScoreTeamAccGatedC,C4,frontend,MenuMiscLeaves_t2.cpp,PASS,same,data=8 ours=146B orig=140B
00423e60,PlayerScoreTeamAccCumB,PlayerScoreTeamAccCumB,C4,frontend,MenuMiscLeaves_t2.cpp,PASS,same,data=8 ours=131B orig=127B
00423ee0,PlayerBlock2Field00Get,PlayerBlock2Field00Get,C4,frontend,MenuLeaves_s3.cpp,FAIL,DIFF,"data -0x7f1a28,0x7f1a38,0x7f1a48 +0x7f1a1c,0x7f1a20,0x7f1a24; imm -0x4 +-"
00423f60,PlayerBlock2Field04Get,PlayerBlock2Field04Get,C4,frontend,MenuLeaves_s3.cpp,FAIL,same,"data -0x7f1a28,0x7f1a38,0x7f1a48 +0x7f1a1c,0x7f1a20,0x7f1a24"
00423ff0,PlayerBlock2Field50Get,PlayerBlock2Field50Get,C4,frontend,MenuLeaves_s3.cpp,FAIL,DIFF,"data -0x7f1a28,0x7f1a38,0x7f1a48 +0x7f1a1c,0x7f1a20,0x7f1a24; imm -0x4 +-"
00424070,PlayerBlock2Field08Get,PlayerBlock2Field08Get,C4,frontend,MenuLeaves_s3.cpp,FAIL,same,"data -0x7f1a28,0x7f1a38,0x7f1a48 +0x7f1a1c,0x7f1a20,0x7f1a24"
00424100,TeamBlockZeroGet,TeamBlockZeroGet,C4,frontend,BatchAA_s3.cpp,PASS,DIFF,imm -0xffffffff +-0x1
