rva,symbol,name,conf,subsystem,file,installed,verdict,imm,detail
0056ba30,FUN_0056ba30,FUN_0056ba30,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore21.cpp,yes,PASS,DIFF,imm -0x5 +0xe0
0056bb30,FUN_0056bb30,FUN_0056bb30,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore21.cpp,yes,PASS,DIFF,"imm -0x8 +0x0,0xc,0x24,0xe0"
0056bb80,FUN_0056bb80,FUN_0056bb80,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverIntegrate6.cpp,yes,PASS,DIFF,"imm -0x5,0x24 +0x0,0x18"
0056bce0,FUN_0056bce0,FUN_0056bce0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverIntegrate6.cpp,yes,PASS,DIFF,"imm -0x10 +0x14,0xfffffff8"
0056bdf0,FUN_0056bdf0,FUN_0056bdf0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverIntegrate6.cpp,yes,PASS,same,data=0 ours=176B orig=135B
0056be80,FUN_0056be80,FUN_0056be80,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverIntegrate6.cpp,yes,PASS,DIFF,imm -0x3c +0x14
0056c0a0,FUN_0056c0a0,FUN_0056c0a0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverIntegrate6.cpp,yes,PASS,DIFF,"imm -0x10,0x4c +0x0,0x28,0xfffffff8"
0056c310,FUN_0056c310,FUN_0056c310,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverIntegrate6.cpp,yes,PASS,DIFF,"imm -0x10,0x48 +0x0,0x14,0x28,0xfffffff8"
0056c580,FUN_0056c580,FUN_0056c580,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore7.cpp,yes,PASS,DIFF,"imm -0x0,0x8,0x54 +0x4,0x50"
0056c8e0,FUN_0056c8e0,FUN_0056c8e0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore7.cpp,yes,PASS,DIFF,"imm -0x6,0xc +-"
0056caa0,FUN_0056caa0,FUN_0056caa0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore7.cpp,yes,PASS,DIFF,"imm -0x8,0xa0 +0x0,0xb0"
0056cf90,FUN_0056cf90,FUN_0056cf90,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore7.cpp,yes,PASS,DIFF,imm -0x6 +-
0056d070,FUN_0056d070,FUN_0056d070,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore7.cpp,yes,PASS,DIFF,imm -- +0x2c
0056d350,FUN_0056d350,FUN_0056d350,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore8.cpp,yes,PASS,same,data=0 ours=207B orig=158B
0056d3f0,FUN_0056d3f0,FUN_0056d3f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore8.cpp,yes,PASS,DIFF,"imm -0x0,0x3,0x18,0x20 +-0x24,-0x10,0x8,0xc,0x14,0xfffffff8"
0056dd40,FUN_0056dd40,FUN_0056dd40,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore8.cpp,yes,PASS,DIFF,"imm -0x20,0x88,0xc4,0xdd,0xe8,0xee +0x1,0x8,0x2c,0xb4"
0056e680,FUN_0056e680,FUN_0056e680,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore8.cpp,yes,PASS,DIFF,"imm -0x68,0x4100 +0x54,0xfffffff8"
0056ed60,FUN_0056ed60,FUN_0056ed60,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore8.cpp,yes,PASS,DIFF,imm -0x18 +0x20
0056ef30,FUN_0056ef30,FUN_0056ef30,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore9.cpp,yes,PASS,DIFF,imm -- +0x0
0056efc0,FUN_0056efc0,FUN_0056efc0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore9.cpp,yes,PASS,same,data=0 ours=83B orig=83B
0056f020,FUN_0056f020,FUN_0056f020,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore9.cpp,yes,PASS,same,data=0 ours=77B orig=113B
0056f0a0,FUN_0056f0a0,FUN_0056f0a0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore9.cpp,yes,PASS,DIFF,imm -0x3 +0x1
0056f1f0,FUN_0056f1f0,FUN_0056f1f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore9.cpp,yes,PASS,DIFF,"imm -0x2,0x3 +-"
0056f350,FUN_0056f350,FUN_0056f350,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore10.cpp,yes,PASS,DIFF,"imm -0x5,0x41,0xf0 +0x30,0x44,0xc8,0xfffffff8"
0056fad0,FUN_0056fad0,FUN_0056fad0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore9.cpp,yes,PASS,DIFF,imm -- +0x0
0056fb90,FUN_0056fb90,FUN_0056fb90,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore10.cpp,yes,PASS,DIFF,"imm -0x2,0x34 +0x1,0x14"
0056fea0,FUN_0056fea0,FUN_0056fea0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore10.cpp,yes,PASS,DIFF,imm -0x20 +0x2c
00570090,FUN_00570090,FUN_00570090,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore12.cpp,yes,PASS,DIFF,"imm -0x5,0x320,0x4100,0x3f7fffef +0x100,0x200,0x300,0x400,0x700,0xfffffff8"
005729a0,FUN_005729a0,FUN_005729a0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore21.cpp,yes,PASS,DIFF,"imm -0x41,0x100,0x250,0x4100 +0x44,0x1e8,0xfffffff8"
005735f0,FUN_005735f0,FUN_005735f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore16.cpp,yes,PASS,same,data=0 ours=163B orig=126B
00573670,FUN_00573670,FUN_00573670,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore22.cpp,yes,PASS,DIFF,"imm -0x54,0x37c,0xffff +-0x1,0x6c"
00574ad0,FUN_00574ad0,FUN_00574ad0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore18.cpp,yes,PASS,DIFF,"imm -0x2,0x5,0x41,0x1e8,0x4100,0x7f7fffff +0x1f,0x1f8"
00575120,FUN_00575120,FUN_00575120,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore16.cpp,yes,PASS,DIFF,"imm -0x41,0x100 +0x44"
005751f0,FUN_005751f0,FUN_005751f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore16.cpp,yes,PASS,DIFF,imm -0x18 +0x10
005752b0,FUN_005752b0,FUN_005752b0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore19.cpp,yes,PASS,DIFF,"imm -0x28,0xe0,0x100,0x4100,0xffff +0x0,0x8"
00575560,FUN_00575560,FUN_00575560,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore20.cpp,yes,PASS,DIFF,"imm -0x8,0xffff +-0x1,0x1,0x14"
