t,fires,px,py,pz,tx,ty,tz,elev,azim,zoom,pairA,pairB,c0x,c0y,c0z,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z
1781117716294,542,-5.822076320648193,11.979403495788574,-11.96726131439209,5.424210548400879,-11.931449890136719,-5.122262001037598,57.983734130859375,133.36004638671875,8.675252914428711,0,2,-0.407272070646286,0.0957823395729065,-12.836124420166016,0.12063182145357132,1.9058241313221758e-20,-23.421506881713867,2.437069892883301,-1.4783418538933955e-40,-23.299837112426758,0.6800572872161865,-3.5344990823027445e-17,-21.634033203125
1781117716301,543,-5.833513259887695,11.926597595214844,-11.991863250732422,5.4413909912109375,-11.879169464111328,-5.12462043762207,57.81988525390625,133.2827606201172,8.646387100219727,0,2,-0.4077323377132416,0.09472861140966415,-12.86982536315918,0.1489233523607254,1.556423040579777e-20,-23.458906173706055,2.431149959564209,-1.4783418538933955e-40,-23.297819137573242,0.7002996206283569,-3.174001859951314e-17,-21.643173217773438
1781117716307,544,-5.844448566436768,11.871258735656738,-12.016227722167969,5.457988739013672,-11.824355125427246,-5.127124786376953,57.653350830078125,133.2096405029297,8.617424011230469,0,2,-0.4081919491291046,0.0936771035194397,-12.903478622436523,0.17797711491584778,1.249373597200093e-20,-23.496572494506836,2.4244184494018555,-1.4783418538933955e-40,-23.295530319213867,0.7211363315582275,-2.539743589047294e-17,-21.652828216552734
1781117716312,545,-5.855418682098389,11.817458152770996,-12.041414260864258,5.474215030670166,-11.771078109741211,-5.1289520263671875,57.49298095703125,133.1349639892578,8.587199211120605,0,2,-0.4086509048938751,0.09262686222791672,-12.937080383300781,0.20780721306800842,9.846758011831241e-21,-23.53447914123535,2.4168357849121094,-1.4783418538933955e-40,-23.292959213256836,0.7425533533096313,-2.0355895788415346e-17,-21.66301727294922
1781117716316,546,-5.866580009460449,11.763338088989258,-12.064571380615234,5.490393161773682,-11.717480659484863,-5.132190704345703,57.3238525390625,133.0686492919922,8.558036804199219,0,2,-0.4091092050075531,0.09157845377922058,-12.970634460449219,0.23842817544937134,2.763444990417155e-20,-23.572599411010742,2.4083542823791504,-1.4783418538933955e-40,-23.29009437561035,0.764533281326294,-1.6290137641594704e-17,-21.67376708984375
1781117716321,547,-5.877026081085205,11.706170082092285,-12.087567329406738,5.505857944488525,-11.660834312438965,-5.135560035705566,57.15069580078125,133.00701904296875,8.527602195739746,0,2,-0.4095667898654938,0.09053121507167816,-13.004138946533203,0.269855797290802,2.2234614865425384e-20,-23.61090660095215,2.398928642272949,-1.4783418538933955e-40,-23.286916732788086,0.7870572805404663,-1.3037531124138191e-17,-21.685096740722656
1781117716328,548,-5.596181392669678,11.504572868347168,-11.430914878845215,5.310184955596924,-11.459758758544922,-5.645367622375488,55.930328369140625,136.75238037109375,8.508818626403809,0,2,-0.4100237786769867,0.08948580175638199,-13.03759765625,0.30210453271865845,1.7893571010747095e-20,-23.64937400817871,2.3885107040405273,-1.4783418538933955e-40,-23.283414840698242,0.810123085975647,-1.0448998437329049e-17,-21.697017669677734
1781117716333,549,-5.575106620788574,11.433568000793457,-11.379170417785645,5.301647186279297,-11.389273643493652,-5.701630592346191,55.645233154296875,137.08184814453125,8.514693260192871,0,2,-0.4104801118373871,0.08844229578971863,-13.071006774902344,0.335273802280426,1.4558378780933287e-20,-23.687776565551758,2.378885269165039,-1.4783418538933955e-40,-23.280187606811523,0.8337141275405884,-8.375461782450522e-18,-21.709548950195312
1781117716339,550,-5.593364715576172,11.383315086364746,-11.416547775268555,5.322075366973877,-11.339540481567383,-5.691171646118164,55.50421142578125,136.91946411132812,8.520564079284668,0,2,-0.4109356105327606,0.08739959448575974,-13.104354858398438,0.36962753534317017,1.1805521702356811e-20,-23.725893020629883,2.3700242042541504,-1.4783418538933955e-40,-23.2772274017334,0.8578122854232788,-6.715277205832093e-18,-21.72270965576172
1781117716344,551,-5.616549491882324,11.334695816040039,-11.468464851379395,5.346185207366943,-11.2914400100708,-5.669573783874512,55.39044189453125,136.68153381347656,8.526430130004883,0,2,-0.4113904535770416,0.08635947853326797,-13.137655258178711,0.4051053524017334,9.529120656610879e-21,-23.763769149780273,2.3618946075439453,-1.4783418538933955e-40,-23.27451515197754,0.882401704788208,-5.38712954453735e-18,-21.73651885986328
